Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Ginger	ET_18	459	1	1	NA	459	0.44
###DNA/Ginger	All_elements	NA	1	1	NA	459	0.4448

######Type:DNA	All_elements	NA	1	1	NA	459	0.4448

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	1	1	NA	459	0.4448

######Type:Low_complexity	All_elements	NA	NA	12	NA	730	0.7075

######Type:Simple_repeat	All_elements	NA	NA	40	NA	1917	1.8579

