Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover

Unknown	ET_52	291	20	9	0	1729
Unknown	ET_51	327	20	12	0	2505
Unknown	ET_49	429	1	1	0	429
Unknown	ET_48	339	4	0	0	0
Unknown	ET_47	429	1	1	0	429
Unknown	ET_50	267	1	1	0	217
###Unknown	All_elements	NA	90	35	0	8326
DNA/Tc1	ET_17	318	7	7	0	2007
DNA/Tc1	ET_1	1480	24	5	0	3342
###DNA/Tc1	All_elements	NA	31	12	0	5349
DNA/CACTA	ET_3	6235	36	17	0	12214
###DNA/CACTA	All_elements	NA	36	17	0	12214
			0	0	0	0
###	All_elements	NA				
DNA/Ginger	ET_18	459	3	1	0	459
###DNA/Ginger	All_elements	NA	3	1	0	459
DNA/Helitron	ET_36	168	2	2	0	297
DNA/Helitron	ET_30	396	2	0	0	0
###DNA/Helitron	All_elements	NA	4	2	0	297
DNA/TC1	ET_24	579	6	5	0	1846
DNA/TC1	ET_45	333	1	0	0	0
###DNA/TC1	All_elements	NA	7	5	0	1846
DNA/Maverick	ET_33	4741	2	0	0	0
###DNA/Maverick	All_elements	NA	2	0	0	0
DNA/hAT	ET_25	425	5	4	0	1621
###DNA/hAT	All_elements	NA	5	4	0	1621
DNA/Helitron_1	ET_42	600	2	0	0	0
###DNA/Helitron_1	All_elements	NA	2	0	0	0
DNA/Transposase	ET_0	1313	2	0	0	0
DNA/Transposase	ET_22	318	33	21	0	4333
###DNA/Transposase	All_elements	NA	35	21	0	4333
######Type:DNA	All_elements	NA	125	62	0	26119
			0	0	0	0
###	All_elements	NA				
LINE/RTE	ET_12	1764	1	1	0	664
LINE/RTE	ET_20	1008	1	1	0	1008
LINE/RTE	ET_8	924	2	2	0	1057
LINE/RTE	ET_10	1764	1	1	0	1764
LINE/RTE	ET_10	1494	2	2	0	162
###LINE/RTE	All_elements	NA	7	7	0	4655
LINE/R2	ET_15	444	2	1	0	444
###LINE/R2	All_elements	NA	2	1	0	444
Unknown	ET_53	291	1	0	0	0
Unknown	ET_49	429	1	1	0	429
Unknown	ET_48	339	3	1	0	339
Unknown	ET_52	291	16	5	0	1021
Unknown	ET_51	327	2	0	0	0
###Unknown	All_elements	NA	90	35	0	8326
LINE/R1	ET_2	2292	20	16	0	5101
LINE/R1	ET_21	120	3	3	0	300
LINE/R1	ET_16	1608	4	1	0	1608
LINE/R1	ET_26	542	9	9	0	2231
###LINE/R1	All_elements	NA	36	29	0	9240
LINE/L1	ET_6	126	2	1	0	126
LINE/L1	ET_5	129	1	1	0	129
LINE/L1	ET_4	2098	81	27	0	14058
###LINE/L1	All_elements	NA	84	29	0	14313
######Type:LINE	All_elements	NA	129	66	0	28652
######Type:SINE	All_elements	NA	0	0	0	0
			0	0	0	0
###	All_elements	NA				
Unknown	ET_52	291	8	2	0	539
Unknown	ET_49	429	10	1	0	428
Unknown	ET_46	261	1	1	0	261
Unknown	ET_53	291	1	0	0	0
###Unknown	All_elements	NA	90	35	0	8326
LTR/Gypsy	ET_11	No_ref_available	1	1	0	180
LTR/Gypsy	ET_38	No_ref_available	2	0	0	0
LTR/Gypsy	ET_32	No_ref_available	2	0	0	0
LTR/Gypsy	ET_34	No_ref_available	35	17	0	2677
LTR/Gypsy	ET_19	No_ref_available	12	11	0	1452
LTR/Gypsy	ET_35	No_ref_available	14	0	0	0
LTR/Gypsy	ET_23	No_ref_available	19	15	0	3442
LTR/Gypsy	ET_7	No_ref_available	2	1	0	264
###LTR/Gypsy	All_elements	NA	87	45	0	8015
######Type:LTR	All_elements	NA	87	45	0	8015
#########Type:EVERYTHING_TE	All_elements	NA	431	208	0	71112
######Type:Low_complexity	All_elements	NA	0	100	0	5749
######Type:Satellite	All_elements	NA				
######Type:Simple_repeat	All_elements	NA	0	532	0	30392
######Type:Unknown	All_elements	NA	90	35	0	8326
