Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###12591/25750/234	5.965	2.026	1.468	Scaffold_28	31290	37767	5051	+	ET_32	LTR/Gypsy	4	10551	(1255)	6792/6793/6793	3	No_ref_available
12591	2.0	0.5	0.0	Scaffold_28	31290	32695	1413	+	ET_32	LTR/Gypsy	4	1416	(4818)	6792	1
25750	7.3	2.5	2.0	Scaffold_28	33872	37615	3563	+	ET_32	LTR/Gypsy	2672	6234	(0)	6793	1
234	15.9	8.4	2.7	Scaffold_28	37697	37767	75	+	ET_32	LTR/Gypsy	10477	10551	(1255)	6793	1

###23137/22985/3544/237/6195	9.013	1.222	0.359	Scaffold_28	25101	40209	8400	+	ET_35	LTR/Gypsy	90	11806	(0)	6790/6790/6795/6795/6795	5	No_ref_available
23137	11.6	1.4	0.3	Scaffold_28	25101	29341	4285	+	ET_35	LTR/Gypsy	90	4374	(7432)	6790	1
22985	5.9	1.3	0.3	Scaffold_28	29458	32312	2883	+	ET_35	LTR/Gypsy	4401	7283	(4523)	6790	1
3544	6.1	0.0	0.0	Scaffold_28	38870	39297	428	+	ET_35	LTR/Gypsy	10572	10999	(807)	6795	1
237	2.9	0.0	0.0	Scaffold_28	39346	39379	34	+	ET_35	LTR/Gypsy	11003	11036	(770)	6795	1
6195	7.3	0.2	1.7	Scaffold_28	39385	40209	813	+	ET_35	LTR/Gypsy	10994	11806	(0)	6795	1
