Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1217	17.4	0.0	0.0	Scaffold_0	103801	104030	230	C	ET_34	LTR/Gypsy	(5044)	2489	2260	53	1	No_ref_available

###1729/245	17.775	1.474	1.228	Scaffold_0	200209	200765	417	C	ET_34	LTR/Gypsy	(5044)	2489	1706	89/89	2	No_ref_available
1729	17.8	1.4	1.4	Scaffold_0	200209	200573	365	C	ET_34	LTR/Gypsy	(5044)	2489	2125	89	1
245	17.6	2.0	0.0	Scaffold_0	200715	200765	52	C	ET_34	LTR/Gypsy	(5776)	1757	1706	89	1

###1476	17.6	2.0	2.8	Scaffold_0	455034	455389	353	+	ET_34	LTR/Gypsy	2137	2489	(5044)	208	1	No_ref_available

###3305	19.8	1.3	4.4	Scaffold_0	871498	872320	799	+	ET_34	LTR/Gypsy	1691	2489	(5044)	377	1	No_ref_available

###3553	19.9	2.1	3.4	Scaffold_0	937655	938501	837	C	ET_34	LTR/Gypsy	(5024)	2509	1673	410	1	No_ref_available

###2956	17.8	1.8	3.1	Scaffold_0	1033030	1033709	671	C	ET_34	LTR/Gypsy	(5079)	2454	1784	486	1	No_ref_available

###13138	0.7	0.0	0.1	Scaffold_0	1101666	1103100	1434	+	ET_34	LTR/Gypsy	6057	7490	(43)	517	1	No_ref_available

###8626/952/648	12.687	2.733	1.414	Scaffold_0	1116742	1123910	1757	C	ET_34	LTR/Gypsy	(60)	7473	3	521/522/524	3	No_ref_available
8626	0.5	0.0	0.0	Scaffold_0	1116742	1117692	951	C	ET_34	LTR/Gypsy	(60)	7473	6523	521	1
952	20.4	10.3	3.6	Scaffold_0	1118015	1118324	330	C	ET_34	LTR/Gypsy	(1303)	6230	5901	522	1
648	33.2	3.3	2.9	Scaffold_0	1123348	1123910	476	C	ET_34	LTR/Gypsy	(7055)	478	3	524	1

###1629	17.8	1.7	2.0	Scaffold_0	1229938	1230287	349	+	ET_34	LTR/Gypsy	2106	2454	(5079)	585	1	No_ref_available

###1798	17.3	2.1	3.1	Scaffold_0	1268261	1268648	384	+	ET_34	LTR/Gypsy	2106	2489	(5044)	595	1	No_ref_available

###1571	18.4	1.7	2.0	Scaffold_0	1268700	1269049	349	+	ET_34	LTR/Gypsy	2106	2454	(5079)	596	1	No_ref_available

###3408	19.8	1.4	2.9	Scaffold_0	1785202	1786030	817	C	ET_34	LTR/Gypsy	(5044)	2489	1673	792	1	No_ref_available

###4545/6737/26208	9.956	0.285	0.334	Scaffold_0	946777	953151	4864	C	ET_35	LTR/Gypsy	(5547)	6259	1	442/444/444	3	No_ref_available
4545	7.0	1.7	0.3	Scaffold_0	946777	947351	583	C	ET_35	LTR/Gypsy	(5547)	6259	5677	442	1
6737	18.0	0.0	0.1	Scaffold_0	948794	949933	1139	C	ET_35	LTR/Gypsy	(7422)	4384	3246	444	1
26208	5.6	0.0	0.5	Scaffold_0	949995	953151	3142	C	ET_35	LTR/Gypsy	(8664)	3142	1	444	1
