Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2925	10.3	0.0	2.6	Scaffold_2	994725	995191	455	C	ET_18	DNA/Ginger	(2)	457	3	5407	1	0.991

###264/9616	4.386	0.000	0.946	Scaffold_2	33306	37104	1159	+	ET_33	DNA/Maverick	3492	4741	(0)	4753/4760	2	0.244
264	13.4	0.0	6.7	Scaffold_2	33306	33353	45	+	ET_33	DNA/Maverick	3492	3536	(1205)	4753	1
9616	4.0	0.0	0.7	Scaffold_2	35983	37104	1114	+	ET_33	DNA/Maverick	3628	4741	(0)	4760	1

###3143	8.7	0.6	5.8	Scaffold_2	35464	35938	452	+	ET_33	DNA/Maverick	3180	3631	(1110)	4759	1	0.095

###6889	18.6	5.1	1.4	Scaffold_2	178873	180283	1462	+	ET_33	DNA/Maverick	3266	4727	(14)	4857	1	0.308

###1294	15.1	4.9	7.8	Scaffold_2	204299	204563	258	+	ET_33	DNA/Maverick	1849	2106	(2635)	4890	1	0.054

###1357	13.9	4.9	7.8	Scaffold_2	244327	244591	258	C	ET_33	DNA/Maverick	(2635)	2106	1849	4916	1	0.054

###6870	19.4	5.0	1.8	Scaffold_2	410055	411485	1476	+	ET_33	DNA/Maverick	3266	4741	(0)	5064	1	0.311

###6778/6306	9.387	1.913	0.818	Scaffold_2	480750	482634	1858	+	ET_33	DNA/Maverick	2884	4741	(0)	5102/5103	2	0.392
6778	5.8	0.2	1.3	Scaffold_2	480750	481604	846	+	ET_33	DNA/Maverick	2884	3729	(1012)	5102	1
6306	12.5	3.4	0.4	Scaffold_2	481650	482634	1014	+	ET_33	DNA/Maverick	3728	4741	(0)	5103	1

###6366	15.2	3.2	1.2	Scaffold_2	681395	682555	1184	+	ET_33	DNA/Maverick	3558	4741	(0)	5220	1	0.250

###7089	11.3	1.4	5.9	Scaffold_2	767321	768478	1109	C	ET_33	DNA/Maverick	(1784)	2957	1849	5253	1	0.234

###11425	3.5	0.1	0.2	Scaffold_2	908431	909750	1318	C	ET_33	DNA/Maverick	(3394)	1347	30	5364	1	0.278

###22210	6.9	0.2	1.9	Scaffold_2	933273	936410	3094	C	ET_33	DNA/Maverick	(1593)	3148	55	5379	1	0.653

###23723	6.6	0.7	3.2	Scaffold_2	943309	946492	3105	C	ET_33	DNA/Maverick	(1608)	3133	29	5382	1	0.655

###540/8991/956	18.377	1.553	6.162	Scaffold_2	1343454	1346109	2212	+	ET_33	DNA/Maverick	937	3498	(1243)	5582/5583/5584	3	0.467
540	29.9	4.5	11.4	Scaffold_2	1343454	1343921	439	+	ET_33	DNA/Maverick	937	1375	(3366)	5582	1
8991	14.4	0.8	4.9	Scaffold_2	1344006	1345607	1540	+	ET_33	DNA/Maverick	1418	2957	(1784)	5583	1
956	22.6	0.8	4.3	Scaffold_2	1345869	1346109	233	+	ET_33	DNA/Maverick	3266	3498	(1243)	5584	1

###5429/1056	12.232	1.422	4.545	Scaffold_2	1361687	1363308	1035	+	ET_33	DNA/Maverick	1849	3498	(1243)	5631/5633	2	0.218
5429	9.9	1.6	5.1	Scaffold_2	1361687	1362516	802	+	ET_33	DNA/Maverick	1849	2650	(2091)	5631	1
1056	20.4	0.8	2.6	Scaffold_2	1363072	1363308	233	+	ET_33	DNA/Maverick	3266	3498	(1243)	5633	1

###532/2049	3.042	0.000	0.000	Scaffold_2	18887	19210	295	C	ET_31	LINE/L1	(0)	362	2	4746/4746	2	0.815
532	3.2	0.0	0.0	Scaffold_2	18887	18948	62	C	ET_31	LINE/L1	(0)	362	301	4746	1
2049	3.0	0.0	0.0	Scaffold_2	18978	19210	233	C	ET_31	LINE/L1	(128)	234	2	4746	1

###2518	7.5	0.3	6.9	Scaffold_2	464856	465240	361	C	ET_31	LINE/L1	(0)	362	2	5092	1	0.997

###2533	7.8	0.3	6.7	Scaffold_2	569149	569532	361	C	ET_31	LINE/L1	(0)	362	2	5147	1	0.997

###1244	17.8	1.7	2.6	Scaffold_2	663750	663985	234	+	ET_31	LINE/L1	2	235	(127)	5187	1	0.646

###2781/519	1.402	0.000	0.000	Scaffold_2	664805	665227	362	+	ET_31	LINE/L1	1	362	(0)	5188/5190	2	1.000
2781	0.7	0.0	0.0	Scaffold_2	664805	665104	300	+	ET_31	LINE/L1	1	300	(62)	5188	1
519	4.8	0.0	0.0	Scaffold_2	665166	665227	62	+	ET_31	LINE/L1	301	362	(0)	5190	1

###1669	7.8	0.0	2.7	Scaffold_2	920745	920969	219	+	ET_31	LINE/L1	2	220	(142)	5367	1	0.605

###2541	7.2	0.3	6.9	Scaffold_2	959248	959632	361	+	ET_31	LINE/L1	2	362	(0)	5388	1	0.997

###1881	3.6	0.0	0.0	Scaffold_2	1443210	1443428	219	C	ET_31	LINE/L1	(142)	220	2	5708	1	0.605

###3067	16.5	1.1	1.3	Scaffold_2	510481	511020	539	+	ET_26	LINE/R1	1	539	(3)	5117	1	0.994
