Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###244/27073	5.297	0.518	1.125	Scaffold_9	22492	26158	3354	C	ET_32	LTR/Gypsy	(1236)	10570	2975	10555/10555	2	No_ref_available
244	20.9	9.1	2.1	Scaffold_9	22492	22579	94	C	ET_32	LTR/Gypsy	(1236)	10570	10477	10555	1
27073	4.9	0.3	1.1	Scaffold_9	22696	26158	3260	C	ET_32	LTR/Gypsy	(0)	6234	2975	10555	1

###3263	19.9	2.0	4.3	Scaffold_9	55224	56058	817	C	ET_34	LTR/Gypsy	(5044)	2489	1673	10570	1	No_ref_available

###826	3.8	1.7	0.0	Scaffold_9	341740	341855	105	+	ET_34	LTR/Gypsy	5906	6010	(1523)	10737	1	No_ref_available

###271/281	10.517	2.112	1.054	Scaffold_9	13003	30030	97	+	ET_35	LTR/Gypsy	3	3236	(8570)	10549/10559	2	No_ref_available
271	11.6	0.0	2.3	Scaffold_9	13003	13046	43	+	ET_35	LTR/Gypsy	3	45	(11761)	10549	1
281	9.6	3.9	0.0	Scaffold_9	29979	30030	54	+	ET_35	LTR/Gypsy	3183	3236	(8570)	10559	1

###505	13.1	4.8	0.0	Scaffold_9	13245	13328	88	+	ET_35	LTR/Gypsy	1	88	(11718)	10551	1	No_ref_available

###4990/3439/15381/47452	3.941	1.288	0.882	Scaffold_9	20177	35604	8530	C	ET_35	LTR/Gypsy	(0)	11806	1	10553/10553/10558/10558	4	No_ref_available
4990	4.4	0.0	0.0	Scaffold_9	20177	20765	589	C	ET_35	LTR/Gypsy	(0)	11806	11218	10553	1
3439	6.8	8.3	0.0	Scaffold_9	20807	21417	662	C	ET_35	LTR/Gypsy	(585)	11221	10560	10553	1
15381	3.3	0.5	0.8	Scaffold_9	28182	29978	1791	C	ET_35	LTR/Gypsy	(4523)	7283	5493	10558	1
47452	3.4	0.0	1.6	Scaffold_9	30021	35604	5495	C	ET_35	LTR/Gypsy	(6311)	5495	1	10558	1

###20609/13781/13781	14.793	1.727	1.451	Scaffold_9	223452	230584	7089	+	ET_35	LTR/Gypsy	87	7289	(4517)	10661/10661/10661	3	No_ref_available
20609	11.8	0.3	0.3	Scaffold_9	223452	226497	3046	+	ET_35	LTR/Gypsy	87	3132	(8674)	10661	1
13781	18.3	3.4	2.8	Scaffold_9	226567	227776	1864	+	ET_35	LTR/Gypsy	3247	5110	(6696)	10661	1
13781	18.3	3.4	2.8	Scaffold_9	229173	230584	2179	+	ET_35	LTR/Gypsy	5111	7289	(4517)	10661	1
