Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1928/441/9560	18.467	1.486	2.772	Scaffold_5	45	3009	2512	+	ET_32	LTR/Gypsy	1425	4379	(1855)	8475/8477/8477	3	No_ref_available
1928	4.9	0.0	5.3	Scaffold_5	45	304	247	+	ET_32	LTR/Gypsy	1425	1671	(4563)	8475	1
441	37.1	2.5	1.6	Scaffold_5	540	901	365	+	ET_32	LTR/Gypsy	1901	2265	(3969)	8477	1
9560	16.1	1.5	2.6	Scaffold_5	1137	3009	1900	+	ET_32	LTR/Gypsy	2480	4379	(1855)	8477	1

###14937/5763	6.354	1.984	1.362	Scaffold_5	3123	7291	3143	+	ET_35	LTR/Gypsy	8581	11806	(0)	8479/8479	2	No_ref_available
14937	6.2	0.6	1.4	Scaffold_5	3123	5044	1907	+	ET_35	LTR/Gypsy	8581	10487	(1319)	8479	1
5763	6.6	4.2	1.3	Scaffold_5	6092	7291	1236	+	ET_35	LTR/Gypsy	10571	11806	(0)	8479	1

###2398/502	4.457	0.000	0.000	Scaffold_5	13933	14363	339	+	ET_31	LINE/L1	2	362	(0)	8480/8480	2	0.936
2398	4.0	0.0	0.0	Scaffold_5	13933	14209	277	+	ET_31	LINE/L1	2	278	(84)	8480	1
502	6.5	0.0	0.0	Scaffold_5	14302	14363	62	+	ET_31	LINE/L1	301	362	(0)	8480	1

###5054/1126/7270	15.717	0.250	2.855	Scaffold_5	126925	129554	2269	+	ET_35	LTR/Gypsy	108	7242	(4564)	8521/8522/8524	3	No_ref_available
5054	21.6	0.5	0.2	Scaffold_5	126925	127889	968	+	ET_35	LTR/Gypsy	108	1075	(10731)	8521	1
1126	23.6	1.0	3.8	Scaffold_5	127883	127932	242	+	ET_35	LTR/Gypsy	5633	5874	(5932)	8522	1
7270	10.3	0.0	5.1	Scaffold_5	128442	129554	1059	+	ET_35	LTR/Gypsy	6184	7242	(4564)	8524	1

###1146	18.5	0.0	3.4	Scaffold_5	127933	128173	233	C	ET_33	DNA/Maverick	(1243)	3498	3266	8523	1	0.049

###16248/18131/18131/9390/23813	8.936	1.963	1.010	Scaffold_5	162678	185730	9452	C	ET_35	LTR/Gypsy	(2354)	9452	1	8562/8562/8562/8562/8570	5	No_ref_available
16248	8.3	1.5	0.6	Scaffold_5	162678	164823	2167	C	ET_35	LTR/Gypsy	(2354)	9452	7286	8562	1
18131	12.1	3.4	0.8	Scaffold_5	166706	168000	1950	C	ET_35	LTR/Gypsy	(4517)	7289	5340	8562	1
18131	12.1	3.4	0.8	Scaffold_5	169470	171304	2768	C	ET_35	LTR/Gypsy	(4517)	5339	2572	8562	1
9390	4.5	0.0	0.0	Scaffold_5	171348	172444	1097	C	ET_35	LTR/Gypsy	(9230)	2576	1480	8562	1
23813	7.4	1.4	1.8	Scaffold_5	181005	185730	7283	C	ET_35	LTR/Gypsy	(4523)	7283	1	8570	1

###24141/9812	8.442	2.189	1.737	Scaffold_5	164829	169469	4677	+	ET_33	DNA/Maverick	31	4741	(0)	8563/8564	2	0.987
24141	7.4	0.2	2.4	Scaffold_5	164829	168013	3118	+	ET_33	DNA/Maverick	31	3148	(1593)	8563	1
9812	10.7	6.5	0.3	Scaffold_5	168001	169469	1559	+	ET_33	DNA/Maverick	3183	4741	(0)	8564	1

###2525	8.2	0.5	4.2	Scaffold_5	172575	172945	358	C	ET_31	LINE/L1	(3)	359	2	8565	1	0.989

###22789	9.4	0.5	0.6	Scaffold_5	185787	188831	3044	C	ET_35	LTR/Gypsy	(8673)	3133	90	8570	1	No_ref_available

###11534	6.8	0.0	0.2	Scaffold_5	189043	190459	1414	C	ET_35	LTR/Gypsy	(10303)	1503	90	8572	1	No_ref_available

###386/8058	16.243	2.271	3.496	Scaffold_5	214868	235594	1745	+	ET_35	LTR/Gypsy	1	7289	(4517)	8588/8630	2	No_ref_available
386	17.7	11.4	0.0	Scaffold_5	214868	214946	88	+	ET_35	LTR/Gypsy	1	88	(11718)	8588	1
8058	16.2	2.0	3.6	Scaffold_5	232930	235594	1657	+	ET_35	LTR/Gypsy	5633	7289	(4517)	8630	1

###1655	7.8	0.0	2.7	Scaffold_5	214933	215157	219	C	ET_31	LINE/L1	(142)	220	2	8589	1	0.605

###767	11.3	0.6	12.4	Scaffold_5	298880	299050	153	C	ET_34	LTR/Gypsy	(1520)	6013	5861	8656	1	No_ref_available

###321	19.7	13.2	0.0	Scaffold_5	357883	357958	86	+	ET_35	LTR/Gypsy	3	88	(11718)	8684	1	No_ref_available

