Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2551/454	1.549	0.000	2.958	Scaffold_16	4435	4876	339	+	ET_31	LINE/L1	2	362	(0)	3669/3669	2	0.936
2551	1.1	0.0	0.0	Scaffold_16	4435	4711	277	+	ET_31	LINE/L1	2	278	(84)	3669	1
454	3.3	0.0	14.5	Scaffold_16	4806	4876	62	+	ET_31	LINE/L1	301	362	(0)	3669	1

###22796/7283/11715	11.574	0.657	1.197	Scaffold_16	19399	26075	6002	+	ET_35	LTR/Gypsy	90	7289	(4517)	3677/3677/3679	3	No_ref_available
22796	10.1	0.2	0.6	Scaffold_16	19399	22496	3086	+	ET_35	LTR/Gypsy	90	3175	(8631)	3677	1
7283	19.5	0.2	0.5	Scaffold_16	22519	23824	1303	+	ET_35	LTR/Gypsy	3243	4545	(7261)	3677	1
11715	8.0	1.9	2.9	Scaffold_16	24448	26075	1613	+	ET_35	LTR/Gypsy	5677	7289	(4517)	3679	1

###7095	9.4	0.7	0.6	Scaffold_16	23797	24762	967	C	ET_33	DNA/Maverick	(592)	4149	3183	3678	1	0.204

###438	16.8	0.6	19.9	Scaffold_16	61527	61682	131	C	ET_31	LINE/L1	(0)	362	232	3698	1	0.362

###22344/14170/1048/9537	11.630	1.815	0.929	Scaffold_16	61683	76708	5758	+	ET_35	LTR/Gypsy	90	11798	(8)	3699/3699/3706/3708	4	No_ref_available
22344	11.8	1.9	1.0	Scaffold_16	61683	64960	3308	+	ET_35	LTR/Gypsy	90	3397	(8409)	3699	1
14170	13.4	2.1	1.2	Scaffold_16	64992	66067	1096	+	ET_35	LTR/Gypsy	3386	4481	(7325)	3699	1
1048	3.9	0.0	0.0	Scaffold_16	74253	74379	127	+	ET_35	LTR/Gypsy	10353	10479	(1327)	3706	1
9537	8.2	1.0	0.0	Scaffold_16	75482	76708	1239	+	ET_35	LTR/Gypsy	10560	11798	(8)	3708	1

###12142/852	14.874	1.403	1.945	Scaffold_16	66068	70988	1779	C	ET_33	DNA/Maverick	(0)	4741	30	3700/3703	2	0.375
12142	7.0	0.8	1.1	Scaffold_16	66068	67317	1245	C	ET_33	DNA/Maverick	(0)	4741	3497	3700	1
852	33.1	2.8	3.9	Scaffold_16	70449	70988	534	C	ET_33	DNA/Maverick	(4178)	563	30	3703	1

###14393	2.8	0.4	1.9	Scaffold_16	67318	69616	1671	+	ET_35	LTR/Gypsy	1	1671	(4563)	3699	1	No_ref_available

###400/21274	10.977	2.228	2.416	Scaffold_16	69852	74172	3928	+	ET_32	LTR/Gypsy	1901	6234	(0)	3702/3704	2	No_ref_available
400	37.1	2.5	1.6	Scaffold_16	69852	70213	365	+	ET_32	LTR/Gypsy	1901	2265	(3969)	3702	1
21274	8.3	2.2	2.5	Scaffold_16	70641	74172	3563	+	ET_32	LTR/Gypsy	2672	6234	(0)	3704	1

###2687/460	2.249	0.000	2.782	Scaffold_16	83414	83843	361	+	ET_31	LINE/L1	2	362	(0)	3711/3713	2	0.997
2687	2.0	0.0	0.0	Scaffold_16	83414	83712	299	+	ET_31	LINE/L1	2	300	(62)	3711	1
460	3.3	0.0	14.5	Scaffold_16	83773	83843	62	+	ET_31	LINE/L1	301	362	(0)	3713	1

###4015	9.8	2.1	4.5	Scaffold_16	419138	419744	593	C	ET_33	DNA/Maverick	(2300)	2441	1849	3902	1	0.125
