Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###6690/3292/14071/14965/15391	5.891	0.344	1.080	Scaffold_35	333	14598	6140	C	ET_35	LTR/Gypsy	(0)	11806	1083	7742/7742/7746/7746/7746	5	No_ref_available
6690	4.2	0.0	1.5	Scaffold_35	333	1148	804	C	ET_35	LTR/Gypsy	(0)	11806	11003	7742	1
3292	10.4	0.0	0.0	Scaffold_35	1197	1636	440	C	ET_35	LTR/Gypsy	(807)	10999	10560	7742	1
14071	2.6	0.2	1.2	Scaffold_35	8375	9997	1607	C	ET_35	LTR/Gypsy	(4523)	7283	5677	7746	1
14965	13.8	1.8	1.2	Scaffold_35	11256	12472	1229	C	ET_35	LTR/Gypsy	(7333)	4473	3245	7746	1
15391	9.1	0.6	0.9	Scaffold_35	12533	14598	2060	C	ET_35	LTR/Gypsy	(8664)	3142	1083	7746	1

###234/14057/28492	5.277	1.337	0.787	Scaffold_35	2742	8324	5278	C	ET_32	LTR/Gypsy	(1255)	10551	1032	7744/7744/7745	3	No_ref_available
234	15.9	8.4	2.7	Scaffold_35	2742	2812	75	C	ET_32	LTR/Gypsy	(1255)	10551	10477	7744	1
14057	7.4	2.1	0.7	Scaffold_35	2894	4953	1890	C	ET_32	LTR/Gypsy	(0)	6234	4345	7744	1
28492	3.7	0.7	0.8	Scaffold_35	4949	8324	3373	C	ET_32	LTR/Gypsy	(1830)	4404	1032	7745	1

###12675	5.0	0.5	2.2	Scaffold_35	9668	11255	1562	+	ET_33	DNA/Maverick	3180	4741	(0)	7747	1	0.329
