Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###9861/24648	7.563	1.504	1.355	Scaffold_29	32	5785	4878	+	ET_32	LTR/Gypsy	554	6234	(0)	6828/6830	2	No_ref_available
9861	2.0	0.5	1.2	Scaffold_29	32	1161	1123	+	ET_32	LTR/Gypsy	554	1676	(4558)	6828	1
24648	9.2	1.8	1.4	Scaffold_29	1945	5785	3755	+	ET_32	LTR/Gypsy	2480	6234	(0)	6830	1

###12234	3.2	4.7	0.7	Scaffold_29	85311	86918	1673	+	ET_32	LTR/Gypsy	4	1676	(4558)	6864	1	No_ref_available

###4652/4576	7.951	0.000	4.594	Scaffold_29	7051	8399	1247	+	ET_35	LTR/Gypsy	10560	11806	(0)	6832/6832	2	No_ref_available
4652	9.1	0.0	6.8	Scaffold_29	7051	7757	662	+	ET_35	LTR/Gypsy	10560	11221	(585)	6832	1
4576	6.6	0.0	2.0	Scaffold_29	7799	8399	589	+	ET_35	LTR/Gypsy	11218	11806	(0)	6832	1

###16784/1701	17.501	0.647	0.740	Scaffold_29	33617	37132	3123	+	ET_35	LTR/Gypsy	100	9452	(2354)	6836/6838	2	No_ref_available
16784	18.2	0.7	0.8	Scaffold_29	33617	36508	2888	+	ET_35	LTR/Gypsy	100	2987	(8819)	6836	1
1701	8.9	0.0	0.0	Scaffold_29	36898	37132	235	+	ET_35	LTR/Gypsy	9218	9452	(2354)	6838	1

###5090/8061/13094	14.584	1.203	2.783	Scaffold_29	74333	89994	4338	+	ET_35	LTR/Gypsy	144	9029	(2777)	6857/6857/6866	3	No_ref_available
5090	21.0	0.2	0.1	Scaffold_29	74333	75272	941	+	ET_35	LTR/Gypsy	144	1084	(10722)	6857	1
8061	17.5	2.7	5.5	Scaffold_29	75257	76958	1657	+	ET_35	LTR/Gypsy	5633	7289	(4517)	6857	1
13094	8.4	0.3	1.6	Scaffold_29	88228	89994	1745	+	ET_35	LTR/Gypsy	7285	9029	(2777)	6866	1

###264/7107/6386	2.655	0.165	0.380	Scaffold_29	78746	85269	1604	+	ET_35	LTR/Gypsy	3	6260	(5546)	6859/6863/6863	3	No_ref_available
264	11.6	0.0	2.3	Scaffold_29	78746	78789	43	+	ET_35	LTR/Gypsy	3	45	(11761)	6859	1
7107	2.0	0.0	0.2	Scaffold_29	83666	84463	796	+	ET_35	LTR/Gypsy	4700	5495	(6311)	6863	1
6386	3.8	1.4	0.9	Scaffold_29	84506	85269	768	+	ET_35	LTR/Gypsy	5493	6260	(5546)	6863	1

###40932	3.0	0.0	1.0	Scaffold_29	78967	83672	4660	+	ET_35	LTR/Gypsy	1	4660	(7146)	6861	1	No_ref_available
