Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2248/335/25230/3400/5421	9.923	0.739	1.347	Scaffold_18	66943	74485	5631	+	ET_32	LTR/Gypsy	1396	11798	(8)	4321/4322/4322/4322/4322	5	No_ref_available
2248	2.9	0.0	3.6	Scaffold_18	66943	67233	281	+	ET_32	LTR/Gypsy	1396	1676	(4558)	4321	1
335	37.2	1.7	0.8	Scaffold_18	67419	67778	363	+	ET_32	LTR/Gypsy	1901	2263	(3971)	4322	1
25230	7.7	0.6	1.5	Scaffold_18	68023	71933	3748	+	ET_32	LTR/Gypsy	2487	6234	(0)	4322	1
3400	9.4	0.0	0.0	Scaffold_18	73211	73687	477	+	ET_32	LTR/Gypsy	10560	11036	(770)	4322	1
5421	8.2	1.9	0.4	Scaffold_18	73693	74485	805	+	ET_32	LTR/Gypsy	10994	11798	(8)	4322	1

###279	17.3	2.4	3.6	Scaffold_18	73085	73168	83	C	ET_32	LTR/Gypsy	(1778)	4456	4374	4323	1	No_ref_available

###17460	4.3	0.1	0.2	Scaffold_18	192274	195562	2013	C	ET_32	LTR/Gypsy	(1179)	5055	3043	4382	1	No_ref_available

###276/25225	8.285	1.503	1.996	Scaffold_18	305173	311683	3813	+	ET_32	LTR/Gypsy	1397	6234	(0)	4482/4485	2	No_ref_available
276	14.0	1.7	1.7	Scaffold_18	305173	305230	58	+	ET_32	LTR/Gypsy	1397	1454	(4780)	4482	1
25225	8.2	1.5	2.0	Scaffold_18	307787	311683	3755	+	ET_32	LTR/Gypsy	2480	6234	(0)	4485	1

###7549	2.6	0.5	1.1	Scaffold_18	306077	306961	879	+	ET_32	LTR/Gypsy	799	1677	(4557)	4484	1	No_ref_available

###1897	18.5	0.3	1.3	Scaffold_18	143423	143801	375	+	ET_34	LTR/Gypsy	2115	2489	(5044)	4363	1	No_ref_available

###279	15.0	10.8	9.8	Scaffold_18	255175	255285	112	+	ET_34	LTR/Gypsy	5892	6003	(1530)	4455	1	No_ref_available

###19731/5661/20540/20540	11.171	1.356	0.908	Scaffold_18	59192	66933	7168	+	ET_35	LTR/Gypsy	90	7283	(4523)	4319/4319/4319/4319	4	No_ref_available
19731	12.9	2.0	0.8	Scaffold_18	59192	62457	3308	+	ET_35	LTR/Gypsy	90	3397	(8409)	4319	1
5661	16.2	0.0	0.1	Scaffold_18	62489	63478	989	+	ET_35	LTR/Gypsy	3386	4374	(7432)	4319	1
20540	4.8	0.9	1.6	Scaffold_18	63595	65210	2769	+	ET_35	LTR/Gypsy	4401	7169	(4637)	4319	1
20540	4.8	0.9	1.6	Scaffold_18	66869	66933	114	+	ET_35	LTR/Gypsy	7170	7283	(4523)	4319	1

###5753/19119/853/8367/25881	8.346	1.424	0.808	Scaffold_18	190920	204814	8301	C	ET_35	LTR/Gypsy	(8)	11798	1	4381/4385/4385/4385/4385	5	No_ref_available
5753	7.0	4.7	1.8	Scaffold_18	190920	192261	1381	C	ET_35	LTR/Gypsy	(8)	11798	10418	4381	1
19119	9.7	0.7	0.5	Scaffold_18	197506	200088	2590	C	ET_35	LTR/Gypsy	(4523)	7283	4694	4385	1
853	27.2	0.0	0.0	Scaffold_18	200289	200346	58	C	ET_35	LTR/Gypsy	(7348)	4458	4401	4385	1
8367	9.7	0.1	0.3	Scaffold_18	200453	201593	1139	C	ET_35	LTR/Gypsy	(7422)	4384	3246	4385	1
25881	6.2	0.0	0.6	Scaffold_18	201664	204814	3133	C	ET_35	LTR/Gypsy	(8673)	3133	1	4385	1

###28679/13817/3354/4531	10.589	2.236	0.738	Scaffold_18	298941	314003	7384	+	ET_35	LTR/Gypsy	90	11798	(8)	4481/4481/4487/4487	4	No_ref_available
28679	12.5	1.6	0.6	Scaffold_18	298941	303182	4285	+	ET_35	LTR/Gypsy	90	4374	(7432)	4481	1
13817	7.7	1.9	1.4	Scaffold_18	303299	305150	1860	+	ET_35	LTR/Gypsy	4401	6260	(5546)	4481	1
3354	8.2	7.8	0.0	Scaffold_18	312780	313393	662	+	ET_35	LTR/Gypsy	10560	11221	(585)	4487	1
4531	5.6	2.1	0.0	Scaffold_18	313435	314003	581	+	ET_35	LTR/Gypsy	11218	11798	(8)	4487	1
