Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###12080/396/12891/15369	8.801	2.151	1.102	Scaffold_21	221478	228020	5791	+	ET_32	LTR/Gypsy	1	6234	(0)	6039/6040/6041/6042	4	No_ref_available
12080	4.0	4.7	0.7	Scaffold_21	221478	223084	1671	+	ET_32	LTR/Gypsy	1	1671	(4563)	6039	1
396	37.7	1.9	1.1	Scaffold_21	223426	223787	365	+	ET_32	LTR/Gypsy	1901	2265	(3969)	6040	1
12891	10.9	1.5	1.7	Scaffold_21	224023	225951	1925	+	ET_32	LTR/Gypsy	2480	4404	(1830)	6041	1
15369	5.1	0.4	0.9	Scaffold_21	225947	228020	1890	+	ET_32	LTR/Gypsy	4345	6234	(0)	6042	1

###26965	10.5	1.6	2.7	Scaffold_21	22680	27214	4487	+	ET_35	LTR/Gypsy	7287	11773	(33)	5968	1	No_ref_available

###23227/15180/4194/3484/6309	9.037	0.933	0.692	Scaffold_21	215251	230510	5987	+	ET_35	LTR/Gypsy	90	11798	(8)	6036/6036/6038/6044/6044	5	No_ref_available
23227	8.7	0.4	0.7	Scaffold_21	215251	218307	3047	+	ET_35	LTR/Gypsy	90	3136	(8670)	6036	1
15180	13.4	1.8	1.3	Scaffold_21	218375	219590	1228	+	ET_35	LTR/Gypsy	3246	4473	(7333)	6036	1
4194	2.5	1.7	0.0	Scaffold_21	220849	221325	485	+	ET_35	LTR/Gypsy	5677	6161	(5645)	6038	1
3484	8.3	1.1	0.0	Scaffold_21	229251	229705	460	+	ET_35	LTR/Gypsy	10572	11031	(775)	6044	1
6309	5.6	1.5	0.0	Scaffold_21	229727	230510	796	+	ET_35	LTR/Gypsy	11003	11798	(8)	6044	1

###965/7503	13.713	0.235	0.892	Scaffold_21	245611	246868	1266	C	ET_35	LTR/Gypsy	(5883)	5923	110	6052/6052	2	No_ref_available
965	26.8	1.0	3.8	Scaffold_21	245611	245909	291	C	ET_35	LTR/Gypsy	(5883)	5923	5633	6052	1
7503	9.7	0.0	0.0	Scaffold_21	245894	246868	975	C	ET_35	LTR/Gypsy	(10722)	1084	110	6052	1

###1769	0.0	0.0	0.0	Scaffold_21	148055	148252	198	C	ET_37	LTR/Gypsy	(0)	198	1	6012	1	No_ref_available

###1200	10.8	0.0	0.0	Scaffold_21	147839	148086	264	C	ET_38	LTR/Gypsy	(0)	264	1	6011	1	No_ref_available
