Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###504/15339/12599/12379	6.086	2.359	2.096	Scaffold_20	51404	58102	5488	C	ET_32	LTR/Gypsy	(1255)	10551	4	5752/5752/5753/5755	4	No_ref_available
504	12.5	0.0	0.0	Scaffold_20	51404	51475	72	C	ET_32	LTR/Gypsy	(1255)	10551	10480	5752	1
15339	4.8	1.4	1.2	Scaffold_20	51567	53649	1890	C	ET_32	LTR/Gypsy	(0)	6234	4345	5752	1
12599	10.1	1.6	4.3	Scaffold_20	53645	55614	1918	C	ET_32	LTR/Gypsy	(1830)	4404	2487	5753	1
12379	2.6	4.7	0.7	Scaffold_20	56500	58102	1668	C	ET_32	LTR/Gypsy	(4563)	1671	4	5755	1

###460	19.5	2.0	8.4	Scaffold_20	212804	212954	142	+	ET_34	LTR/Gypsy	2242	2383	(5150)	5832	1	No_ref_available

###264	16.7	2.4	5.0	Scaffold_20	268042	268123	80	C	ET_34	LTR/Gypsy	(5716)	1817	1738	5888	1	No_ref_available

###17811/7617/18796	10.014	1.263	1.099	Scaffold_20	25101	31504	6240	+	ET_35	LTR/Gypsy	925	7289	(4517)	5724/5724/5724	3	No_ref_available
17811	6.9	0.2	0.0	Scaffold_20	25101	27307	2212	+	ET_35	LTR/Gypsy	925	3136	(8670)	5724	1
7617	13.6	0.0	0.0	Scaffold_20	27375	28513	1139	+	ET_35	LTR/Gypsy	3246	4384	(7422)	5724	1
18796	11.0	2.6	2.4	Scaffold_20	28620	31504	2889	+	ET_35	LTR/Gypsy	4401	7289	(4517)	5724	1

###5651/12887/22173	10.005	2.705	0.848	Scaffold_20	49135	64409	7376	C	ET_35	LTR/Gypsy	(8)	11798	90	5750/5756/5756	3	No_ref_available
5651	7.6	5.1	0.0	Scaffold_20	49135	50301	1227	C	ET_35	LTR/Gypsy	(8)	11798	10572	5750	1
12887	10.0	1.9	1.6	Scaffold_20	58194	60052	1864	C	ET_35	LTR/Gypsy	(5542)	6264	4401	5756	1
22173	12.4	1.6	0.5	Scaffold_20	60169	64409	4285	C	ET_35	LTR/Gypsy	(7432)	4374	90	5756	1
