Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###469/280	11.199	5.185	0.738	Scaffold_22	69637	84841	141	+	ET_35	LTR/Gypsy	3	3237	(8569)	6108/6113	2	No_ref_available
469	12.2	4.8	1.2	Scaffold_22	69637	69719	86	+	ET_35	LTR/Gypsy	3	88	(11718)	6108	1
280	9.6	5.8	0.0	Scaffold_22	84790	84841	55	+	ET_35	LTR/Gypsy	3183	3237	(8569)	6113	1

###1351	15.6	0.0	2.7	Scaffold_22	69705	69934	224	C	ET_31	LINE/L1	(137)	225	2	6109	1	0.619

###5740/27387/39867	4.704	1.173	0.702	Scaffold_22	76380	90299	9999	C	ET_35	LTR/Gypsy	(12)	11794	3	6110/6110/6115	3	No_ref_available
5740	7.2	4.5	0.9	Scaffold_22	76380	77651	1317	C	ET_35	LTR/Gypsy	(12)	11794	10478	6110	1
27387	4.0	0.1	0.9	Scaffold_22	77722	80951	3204	C	ET_35	LTR/Gypsy	(1319)	10487	7284	6110	1
39867	4.5	1.0	0.5	Scaffold_22	85818	90299	5488	C	ET_35	LTR/Gypsy	(6316)	5490	3	6115	1

###30089/6074	7.588	0.944	1.193	Scaffold_22	81024	85817	4735	+	ET_33	DNA/Maverick	5	4741	(0)	6112/6114	2	0.999
30089	6.1	0.2	1.4	Scaffold_22	81024	84789	3721	+	ET_33	DNA/Maverick	5	3725	(1016)	6112	1
6074	13.3	3.8	0.4	Scaffold_22	84837	85817	1014	+	ET_33	DNA/Maverick	3728	4741	(0)	6114	1
