Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###19488	1.3	0.8	0.0	Scaffold_19	21430	23567	2155	+	ET_33	DNA/Maverick	1344	3498	(1243)	4575	1	0.455

###25389/25389	8.100	0.600	2.300	Scaffold_19	35428	40172	4712	C	ET_33	DNA/Maverick	(0)	4741	30	4579/4579	2	0.994
25389	8.1	0.6	2.3	Scaffold_19	35428	36699	1911	C	ET_33	DNA/Maverick	(0)	4741	2831	4579	1
25389	8.1	0.6	2.3	Scaffold_19	38312	40172	2801	C	ET_33	DNA/Maverick	(0)	2830	30	4579	1

###9218	1.7	0.0	1.1	Scaffold_19	65431	66464	1023	+	ET_33	DNA/Maverick	3719	4741	(0)	4590	1	0.216

###12377	7.4	0.1	2.7	Scaffold_19	102095	103739	1603	C	ET_33	DNA/Maverick	(1593)	3148	1546	4640	1	0.338

###2606	7.0	0.3	4.4	Scaffold_19	7107	7482	361	C	ET_31	LINE/L1	(0)	362	2	4569	1	0.997

###2057	12.9	0.0	8.3	Scaffold_19	48353	48731	350	C	ET_31	LINE/L1	(0)	362	13	4582	1	0.967

###1330	15.1	0.0	2.7	Scaffold_19	74461	74685	219	+	ET_31	LINE/L1	2	220	(142)	4593	1	0.605

###1808/307	10.909	0.000	1.996	Scaffold_19	117955	118386	303	+	ET_31	LINE/L1	2	362	(0)	4643/4643	2	0.837
1808	10.0	0.0	2.4	Scaffold_19	117955	118211	251	+	ET_31	LINE/L1	2	252	(110)	4643	1
307	15.4	0.0	0.0	Scaffold_19	118335	118386	52	+	ET_31	LINE/L1	311	362	(0)	4643	1
