Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###382/15375/14121	8.370	1.216	1.223	Scaffold_14	302059	308429	4146	C	ET_32	LTR/Gypsy	(1099)	5135	4	3324/3325/3327	3	No_ref_available
382	6.9	0.0	5.2	Scaffold_14	302059	302119	58	C	ET_32	LTR/Gypsy	(1099)	5135	5078	3324	1
15375	11.2	1.7	1.4	Scaffold_14	303516	305924	2415	C	ET_32	LTR/Gypsy	(1340)	4894	2480	3325	1
14121	2.1	0.2	0.6	Scaffold_14	306750	308429	1673	C	ET_32	LTR/Gypsy	(4558)	1676	4	3327	1

###9402	6.8	1.9	0.8	Scaffold_14	302152	303452	1315	C	ET_32	LTR/Gypsy	(0)	6234	4920	3325	1	No_ref_available

###13940	2.1	0.2	0.9	Scaffold_14	482841	484579	1673	+	ET_32	LTR/Gypsy	4	1676	(4558)	3400	1	No_ref_available

###328/5937/1001/12811/6394/20567	8.839	2.155	0.528	Scaffold_14	299534	314731	7400	C	ET_35	LTR/Gypsy	(0)	11806	90	3321/3321/3323/3329/3329/3329	6	No_ref_available
328	4.8	0.0	0.0	Scaffold_14	299534	299575	42	C	ET_35	LTR/Gypsy	(0)	11806	11765	3321	1
5937	6.2	4.2	0.0	Scaffold_14	299642	300782	1189	C	ET_35	LTR/Gypsy	(45)	11761	10573	3321	1
1001	3.9	0.0	0.0	Scaffold_14	301945	302071	127	C	ET_35	LTR/Gypsy	(1327)	10479	10353	3323	1
12811	8.8	1.7	1.4	Scaffold_14	308516	310370	1860	C	ET_35	LTR/Gypsy	(5546)	6260	4401	3329	1
6394	17.4	0.0	0.0	Scaffold_14	310487	311615	1129	C	ET_35	LTR/Gypsy	(7432)	4374	3246	3329	1
20567	11.7	0.5	0.5	Scaffold_14	311677	314731	3053	C	ET_35	LTR/Gypsy	(8664)	3142	90	3329	1

###21981/6765/13212	11.417	0.922	0.771	Scaffold_14	476543	482754	6034	+	ET_35	LTR/Gypsy	90	6260	(5546)	3398/3398/3398	3	No_ref_available
21981	10.8	0.5	0.5	Scaffold_14	476543	479587	3044	+	ET_35	LTR/Gypsy	90	3133	(8673)	3398	1
6765	17.3	0.0	0.0	Scaffold_14	479657	480786	1130	+	ET_35	LTR/Gypsy	3245	4374	(7432)	3398	1
13212	8.8	2.2	1.7	Scaffold_14	480903	482754	1860	+	ET_35	LTR/Gypsy	4401	6260	(5546)	3398	1
