Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###513	13.4	0.0	0.0	Scaffold_4	141053	141134	82	C	ET_3	DNA/CACTA	(1637)	4598	4517	7867	1	0.013

###897/11549	7.447	0.055	4.309	Scaffold_4	66514	68455	1748	+	ET_33	DNA/Maverick	1345	3133	(1608)	7836/7838	2	0.369
897	13.9	0.6	4.4	Scaffold_4	66514	66679	160	+	ET_33	DNA/Maverick	1345	1504	(3237)	7836	1
11549	6.8	0.0	4.3	Scaffold_4	66799	68455	1588	+	ET_33	DNA/Maverick	1546	3133	(1608)	7838	1

###25460/11621	6.682	0.396	1.142	Scaffold_4	397832	402519	4667	+	ET_33	DNA/Maverick	41	4741	(0)	8066/8068	2	0.984
25460	5.5	0.1	1.7	Scaffold_4	397832	400988	3108	+	ET_33	DNA/Maverick	41	3148	(1593)	8066	1
11621	9.1	1.0	0.0	Scaffold_4	400976	402519	1559	+	ET_33	DNA/Maverick	3183	4741	(0)	8068	1

###9488	5.6	2.5	0.2	Scaffold_4	967163	968340	1204	C	ET_33	DNA/Maverick	(0)	4741	3538	8349	1	0.254

###2140	8.4	0.3	8.3	Scaffold_4	4340	4729	361	C	ET_31	LINE/L1	(0)	362	2	7808	1	0.997

###2256	8.4	0.3	7.2	Scaffold_4	52029	52414	361	C	ET_31	LINE/L1	(0)	362	2	7830	1	0.997

###1294	17.0	0.0	2.7	Scaffold_4	396762	396991	224	C	ET_31	LINE/L1	(137)	225	2	8064	1	0.619

###2421	10.0	0.3	4.2	Scaffold_4	518228	518602	361	+	ET_31	LINE/L1	2	362	(0)	8155	1	0.997

###1658	7.8	0.0	2.7	Scaffold_4	983580	983804	219	+	ET_31	LINE/L1	2	220	(142)	8356	1	0.605

###1564/331	11.056	0.000	2.242	Scaffold_4	1005195	1005590	271	+	ET_31	LINE/L1	2	358	(4)	8367/8367	2	0.749
1564	10.7	0.0	2.7	Scaffold_4	1005195	1005424	224	+	ET_31	LINE/L1	2	225	(137)	8367	1
331	12.8	0.0	0.0	Scaffold_4	1005544	1005590	47	+	ET_31	LINE/L1	312	358	(4)	8367	1

###1579	10.3	0.0	2.7	Scaffold_4	1009536	1009765	224	C	ET_31	LINE/L1	(137)	225	2	8379	1	0.619
