Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###14262	2.0	0.0	0.3	Scaffold_11	13886	15504	1614	+	ET_39	LINE/RTE	1	1614	(0)	2167	1	1.000

###27440/7483	15.099	1.507	1.379	Scaffold_11	78885	84621	5728	+	ET_35	LTR/Gypsy	122	5915	(5891)	2193/2193	2	No_ref_available
27440	15.4	1.7	1.1	Scaffold_11	78885	83376	4518	+	ET_35	LTR/Gypsy	122	4639	(7167)	2193	1
7483	14.0	0.8	2.4	Scaffold_11	83393	84621	1210	+	ET_35	LTR/Gypsy	4706	5915	(5891)	2193	1

###7192	17.1	5.2	1.4	Scaffold_11	83208	83392	1467	C	ET_33	DNA/Maverick	(9)	4732	3266	2194	1	0.309

###2447	8.7	0.3	7.2	Scaffold_11	85083	85468	361	C	ET_31	LINE/L1	(0)	362	2	2195	1	0.997

###6235/234/25455/5561/9249	7.060	2.303	0.930	Scaffold_11	92071	100774	6719	C	ET_32	LTR/Gypsy	(0)	11806	4	2196/2196/2196/2197/2197	5	No_ref_available
6235	6.8	4.0	1.0	Scaffold_11	92071	93268	1234	C	ET_32	LTR/Gypsy	(0)	11806	10573	2196	1
234	15.9	8.4	2.7	Scaffold_11	94209	94279	75	C	ET_32	LTR/Gypsy	(1255)	10551	10477	2196	1
25455	8.9	2.1	1.2	Scaffold_11	94361	98227	3755	C	ET_32	LTR/Gypsy	(0)	6234	2480	2196	1
5561	2.2	0.0	0.0	Scaffold_11	99075	99701	627	C	ET_32	LTR/Gypsy	(4576)	1658	1032	2197	1
9249	1.9	0.0	0.0	Scaffold_11	99746	100774	1029	C	ET_32	LTR/Gypsy	(5202)	1032	4	2197	1

###12931	9.1	2.8	1.8	Scaffold_11	100832	102664	1850	+	ET_33	DNA/Maverick	2892	4741	(0)	2198	1	0.390

###52198/368	3.097	0.099	0.616	Scaffold_11	102665	107192	4459	C	ET_35	LTR/Gypsy	(7347)	4459	1	2199/2199	2	No_ref_available
52198	3.0	0.1	0.6	Scaffold_11	102665	107096	4406	C	ET_35	LTR/Gypsy	(7347)	4459	54	2199	1
368	10.5	0.0	1.8	Scaffold_11	107135	107192	57	C	ET_35	LTR/Gypsy	(11749)	57	1	2199	1

###1218	18.3	1.7	2.6	Scaffold_11	166271	166506	234	C	ET_31	LINE/L1	(127)	235	2	2241	1	0.646

###9851/22497/22497/20867	7.349	1.454	0.808	Scaffold_11	173110	188050	8403	C	ET_35	LTR/Gypsy	(0)	11806	90	2243/2247/2247/2247	4	No_ref_available
9851	5.6	1.7	1.0	Scaffold_11	173110	174335	1235	C	ET_35	LTR/Gypsy	(0)	11806	10572	2243	1
22497	4.2	0.8	0.8	Scaffold_11	180164	180465	463	C	ET_35	LTR/Gypsy	(4523)	7283	6821	2247	1
22497	4.2	0.8	0.8	Scaffold_11	182119	183693	2420	C	ET_35	LTR/Gypsy	(4523)	6820	4401	2247	1
20867	12.9	1.6	0.5	Scaffold_11	183810	188050	4285	C	ET_35	LTR/Gypsy	(7432)	4374	90	2247	1

###25747/413	11.098	1.634	1.650	Scaffold_11	175455	179978	4116	C	ET_32	LTR/Gypsy	(0)	6234	1901	2245/2246	2	No_ref_available
25747	8.7	1.5	1.6	Scaffold_11	175455	179381	3755	C	ET_32	LTR/Gypsy	(0)	6234	2480	2245	1
413	37.4	3.1	2.2	Scaffold_11	179621	179978	361	C	ET_32	LTR/Gypsy	(3973)	2261	1901	2246	1

###12203	7.4	0.0	4.1	Scaffold_11	180466	182118	1588	+	ET_33	DNA/Maverick	1546	3133	(1608)	2248	1	0.335

###23030	10.9	1.3	0.9	Scaffold_11	260665	264765	4118	+	ET_35	LTR/Gypsy	88	4205	(7601)	2308	1	No_ref_available

###3138	19.7	1.6	8.6	Scaffold_11	472135	473007	817	C	ET_34	LTR/Gypsy	(5044)	2489	1673	2456	1	No_ref_available

###2583	12.2	0.3	0.5	Scaffold_11	475888	476265	377	C	ET_35	LTR/Gypsy	(11342)	464	88	2472	1	No_ref_available

###12888	2.6	0.0	0.0	Scaffold_11	552292	553787	1496	C	ET_39	LINE/RTE	(118)	1496	1	2541	1	0.927

###2065	4.5	0.0	0.0	Scaffold_11	559291	559534	244	+	ET_39	LINE/RTE	1371	1614	(0)	2550	1	0.151

###1398	15.2	0.0	0.0	Scaffold_11	565384	565614	231	+	ET_34	LTR/Gypsy	2235	2465	(5068)	2565	1	No_ref_available

###4544/22653	10.416	1.777	1.701	Scaffold_11	574374	578902	4463	C	ET_35	LTR/Gypsy	(33)	11773	7287	2568/2568	2	No_ref_available
4544	14.4	3.7	2.8	Scaffold_11	574374	575768	1410	C	ET_35	LTR/Gypsy	(33)	11773	10364	2568	1
22653	8.6	0.9	1.2	Scaffold_11	575842	578902	3053	C	ET_35	LTR/Gypsy	(1467)	10339	7287	2568	1
