Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###7095	9.4	0.7	0.6	Scaffold_16	23797	24762	967	C	ET_33	DNA/Maverick	(592)	4149	3183	3678	1	0.204

###12142/852	14.874	1.403	1.945	Scaffold_16	66068	70988	1779	C	ET_33	DNA/Maverick	(0)	4741	30	3700/3703	2	0.375
12142	7.0	0.8	1.1	Scaffold_16	66068	67317	1245	C	ET_33	DNA/Maverick	(0)	4741	3497	3700	1
852	33.1	2.8	3.9	Scaffold_16	70449	70988	534	C	ET_33	DNA/Maverick	(4178)	563	30	3703	1

###4015	9.8	2.1	4.5	Scaffold_16	419138	419744	593	C	ET_33	DNA/Maverick	(2300)	2441	1849	3902	1	0.125

###2551/454	1.549	0.000	2.958	Scaffold_16	4435	4876	339	+	ET_31	LINE/L1	2	362	(0)	3669/3669	2	0.936
2551	1.1	0.0	0.0	Scaffold_16	4435	4711	277	+	ET_31	LINE/L1	2	278	(84)	3669	1
454	3.3	0.0	14.5	Scaffold_16	4806	4876	62	+	ET_31	LINE/L1	301	362	(0)	3669	1

###438	16.8	0.6	19.9	Scaffold_16	61527	61682	131	C	ET_31	LINE/L1	(0)	362	232	3698	1	0.362

###2687/460	2.249	0.000	2.782	Scaffold_16	83414	83843	361	+	ET_31	LINE/L1	2	362	(0)	3711/3713	2	0.997
2687	2.0	0.0	0.0	Scaffold_16	83414	83712	299	+	ET_31	LINE/L1	2	300	(62)	3711	1
460	3.3	0.0	14.5	Scaffold_16	83773	83843	62	+	ET_31	LINE/L1	301	362	(0)	3713	1
