Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###532/2049	3.042	0.000	0.000	Scaffold_2	18887	19210	295	C	ET_31	LINE/L1	(0)	362	2	4746/4746	2	0.815
532	3.2	0.0	0.0	Scaffold_2	18887	18948	62	C	ET_31	LINE/L1	(0)	362	301	4746	1
2049	3.0	0.0	0.0	Scaffold_2	18978	19210	233	C	ET_31	LINE/L1	(128)	234	2	4746	1

###7795/1952/14430/297/12971/384/2244/3433	8.647	1.088	0.891	Scaffold_2	26088	34093	5993	C	ET_32	LTR/Gypsy	(0)	11806	1032	4750/4750/4750/4750/4751/4752/4755/4756	8	No_ref_available
7795	6.5	0.8	0.5	Scaffold_2	26088	27100	1016	C	ET_32	LTR/Gypsy	(0)	11806	10791	4750	1
1952	2.7	0.0	0.0	Scaffold_2	27146	27364	219	C	ET_32	LTR/Gypsy	(1016)	10790	10572	4750	1
14430	6.2	1.1	0.5	Scaffold_2	28542	30564	1878	C	ET_32	LTR/Gypsy	(2)	6232	4355	4750	1
297	2.0	3.9	1.9	Scaffold_2	30553	30604	53	C	ET_32	LTR/Gypsy	(1837)	4397	4345	4750	1
12971	10.7	1.4	1.6	Scaffold_2	30600	32528	1925	C	ET_32	LTR/Gypsy	(1830)	4404	2480	4751	1
384	38.0	1.9	1.1	Scaffold_2	32764	33125	365	C	ET_32	LTR/Gypsy	(3969)	2265	1901	4752	1
2244	4.4	0.0	3.6	Scaffold_2	33381	33666	276	C	ET_32	LTR/Gypsy	(4563)	1671	1396	4755	1
3433	4.8	1.0	0.0	Scaffold_2	33676	34093	422	C	ET_32	LTR/Gypsy	(4781)	1453	1032	4756	1

###264/9616	4.386	0.000	0.946	Scaffold_2	33306	37104	1159	+	ET_33	DNA/Maverick	3492	4741	(0)	4753/4760	2	0.244
264	13.4	0.0	6.7	Scaffold_2	33306	33353	45	+	ET_33	DNA/Maverick	3492	3536	(1205)	4753	1
9616	4.0	0.0	0.7	Scaffold_2	35983	37104	1114	+	ET_33	DNA/Maverick	3628	4741	(0)	4760	1

###4080/9811/21808	8.631	1.116	0.500	Scaffold_2	34144	41529	5892	C	ET_35	LTR/Gypsy	(4523)	7283	90	4757/4757/4761	3	No_ref_available
4080	2.4	0.0	0.0	Scaffold_2	34144	34602	459	C	ET_35	LTR/Gypsy	(4523)	7283	6825	4757	1
9811	3.3	0.9	0.7	Scaffold_2	34644	35793	1152	C	ET_35	LTR/Gypsy	(4978)	6828	5677	4757	1
21808	10.8	1.3	0.5	Scaffold_2	37279	41529	4285	C	ET_35	LTR/Gypsy	(7432)	4374	90	4761	1

###3143	8.7	0.6	5.8	Scaffold_2	35464	35938	452	+	ET_33	DNA/Maverick	3180	3631	(1110)	4759	1	0.095

###20812/615/3797	10.487	1.753	1.821	Scaffold_2	47346	51919	4394	+	ET_35	LTR/Gypsy	7284	11773	(33)	4768/4768/4768	3	No_ref_available
20812	9.2	0.8	1.7	Scaffold_2	47346	50425	3052	+	ET_35	LTR/Gypsy	7284	10335	(1471)	4768	1
615	13.3	0.0	0.0	Scaffold_2	50515	50619	105	+	ET_35	LTR/Gypsy	10374	10478	(1328)	4768	1
3797	13.6	4.4	2.3	Scaffold_2	50709	51919	1237	+	ET_35	LTR/Gypsy	10537	11773	(33)	4768	1

###1255/2914	19.300	1.511	1.807	Scaffold_2	61364	62586	728	C	ET_34	LTR/Gypsy	(5044)	2489	1762	4772/4773	2	No_ref_available
