Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###5872/26263/28582	6.937	1.531	1.631	Scaffold_30	2815	13531	11769	C	ET_35	LTR/Gypsy	(37)	11769	1	7623/7623/7626	3	No_ref_available
5872	8.2	4.8	0.0	Scaffold_30	2815	3990	1233	C	ET_35	LTR/Gypsy	(37)	11769	10537	7623	1
26263	6.0	0.7	1.8	Scaffold_30	4036	7927	3259	C	ET_35	LTR/Gypsy	(1264)	10542	7284	7623	1
28582	7.4	1.4	1.9	Scaffold_30	8814	13531	7283	C	ET_35	LTR/Gypsy	(4523)	7283	1	7626	1

###22611	9.7	0.4	0.7	Scaffold_30	13602	16655	3044	C	ET_35	LTR/Gypsy	(8673)	3133	90	7626	1	No_ref_available

###14283	2.4	0.0	0.0	Scaffold_30	29180	30793	1614	+	ET_39	LINE/RTE	1	1614	(0)	7640	1	1.000

###1940	7.0	0.0	0.0	Scaffold_30	35725	35968	244	C	ET_39	LINE/RTE	(0)	1614	1371	7646	1	0.151

###22615/919/12191/3083	10.248	1.323	0.903	Scaffold_30	69026	75593	6229	+	ET_35	LTR/Gypsy	90	6599	(5207)	7663/7663/7663/7663	4	No_ref_available
22615	12.0	1.6	0.5	Scaffold_30	69026	73266	4285	+	ET_35	LTR/Gypsy	90	4374	(7432)	7663	1
919	23.6	0.0	6.5	Scaffold_30	73383	73440	44	+	ET_35	LTR/Gypsy	4401	4444	(7362)	7663	1
12191	6.4	0.9	2.0	Scaffold_30	73635	75213	1561	+	ET_35	LTR/Gypsy	4700	6260	(5546)	7663	1
3083	3.4	0.0	0.0	Scaffold_30	75240	75593	354	+	ET_35	LTR/Gypsy	6246	6599	(5207)	7663	1

###11941	5.1	4.6	0.2	Scaffold_30	73441	74933	1559	C	ET_33	DNA/Maverick	(0)	4741	3183	7664	1	0.329
