Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###10411	9.9	4.2	0.5	Scaffold_7	614271	615773	1559	C	ET_33	DNA/Maverick	(0)	4741	3183	9860	1	0.329

###6106	16.6	4.1	1.8	Scaffold_7	633483	634640	1184	+	ET_33	DNA/Maverick	3558	4741	(0)	9915	1	0.250

###21474	8.2	0.1	3.7	Scaffold_7	794236	797272	2932	C	ET_33	DNA/Maverick	(1781)	2960	29	9978	1	0.618

###7621	9.7	1.1	3.9	Scaffold_7	841404	842546	1112	C	ET_33	DNA/Maverick	(1781)	2960	1849	10006	1	0.235

###2242	10.1	0.3	8.6	Scaffold_7	572666	573056	361	+	ET_31	LINE/L1	2	362	(0)	9842	1	0.997

###1117	18.9	0.0	2.8	Scaffold_7	801480	801702	217	+	ET_31	LINE/L1	2	218	(144)	9980	1	0.599

###13827	2.5	0.0	0.3	Scaffold_7	857678	859296	1614	C	ET_39	LINE/RTE	(0)	1614	1	10013	1	1.000
