Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###4726/3800/13742/5115	11.846	1.194	1.048	Scaffold_42	1	4430	4051	+	ET_35	LTR/Gypsy	1921	6260	(5546)	8426/8426/8426/8426	4	No_ref_available
4726	11.2	0.5	0.0	Scaffold_42	1	653	656	+	ET_35	LTR/Gypsy	1921	2576	(9230)	8426	1
3800	13.6	0.0	0.0	Scaffold_42	697	1261	565	+	ET_35	LTR/Gypsy	2572	3136	(8670)	8426	1
13742	14.2	1.9	1.1	Scaffold_42	1328	3560	2251	+	ET_35	LTR/Gypsy	3245	5495	(6311)	8426	1
5115	1.9	0.5	3.1	Scaffold_42	3832	4430	584	+	ET_35	LTR/Gypsy	5677	6260	(5546)	8426	1

###4727	3.3	0.0	0.9	Scaffold_42	3603	4150	543	C	ET_33	DNA/Maverick	(1016)	3725	3183	8427	1	0.115

###9333/16704/300	2.963	1.227	0.064	Scaffold_42	4517	7608	3035	+	ET_32	LTR/Gypsy	4	3038	(3196)	8429/8429/8429	3	No_ref_available
9333	1.4	0.0	0.0	Scaffold_42	4517	5545	1029	+	ET_32	LTR/Gypsy	4	1032	(5202)	8429	1
16704	3.6	1.9	0.1	Scaffold_42	5590	7539	1984	+	ET_32	LTR/Gypsy	1032	3015	(3219)	8429	1
300	11.6	0.0	0.0	Scaffold_42	7566	7608	43	+	ET_32	LTR/Gypsy	2996	3038	(3196)	8429	1
