Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###604	11.1	2.2	0.0	Scaffold_15	14650	14739	92	+	ET_3	DNA/CACTA	4507	4598	(1637)	3410	1	0.015

###1499/6606	10.126	0.688	0.823	Scaffold_15	40589	43813	1132	+	ET_33	DNA/Maverick	1418	4532	(209)	3421/3424	2	0.239
1499	21.0	0.9	2.8	Scaffold_15	40589	40921	327	+	ET_33	DNA/Maverick	1418	1744	(2997)	3421	1
6606	5.6	0.6	0.0	Scaffold_15	43014	43813	805	+	ET_33	DNA/Maverick	3728	4532	(209)	3424	1

###7222	16.7	5.9	1.8	Scaffold_15	177002	178365	1419	+	ET_33	DNA/Maverick	3314	4732	(9)	3516	1	0.299

###2505	7.8	0.3	6.9	Scaffold_15	5439	5823	361	+	ET_31	LINE/L1	2	362	(0)	3404	1	0.997

###232/2265	7.362	0.243	8.867	Scaffold_15	26768	27323	355	C	ET_31	LINE/L1	(0)	362	2	3414/3415	2	0.981
232	16.6	0.0	17.7	Scaffold_15	26768	26840	62	C	ET_31	LINE/L1	(0)	362	301	3414	1
2265	5.2	0.3	6.8	Scaffold_15	27012	27323	293	C	ET_31	LINE/L1	(68)	294	2	3415	1

###14662	1.1	0.0	0.0	Scaffold_15	416793	418406	1614	C	ET_39	LINE/RTE	(0)	1614	1	3648	1	1.000

###14253	2.4	0.0	0.0	Scaffold_15	435980	437593	1614	C	ET_39	LINE/RTE	(0)	1614	1	3665	1	1.000
