Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###3250	19.7	1.7	2.5	Scaffold_8	9308	10130	817	+	ET_34	LTR/Gypsy	1673	2489	(5044)	10041	1	No_ref_available

###22312/7381/11153/20930/718/4089	9.827	0.913	1.332	Scaffold_8	11401	24994	10417	+	ET_35	LTR/Gypsy	110	11764	(42)	10043/10043/10045/10046/10046/10046	6	No_ref_available
22312	7.4	0.1	1.3	Scaffold_8	11401	14461	3027	+	ET_35	LTR/Gypsy	110	3136	(8670)	10043	1
7381	17.1	0.7	0.6	Scaffold_8	14529	15920	1393	+	ET_35	LTR/Gypsy	3246	4638	(7168)	10043	1
11153	8.1	1.0	2.2	Scaffold_8	16928	18559	1613	+	ET_35	LTR/Gypsy	5677	7289	(4517)	10045	1
20930	9.0	0.7	1.4	Scaffold_8	20426	23497	3049	+	ET_35	LTR/Gypsy	7287	10335	(1471)	10046	1
718	11.8	0.0	0.0	Scaffold_8	23583	23692	110	+	ET_35	LTR/Gypsy	10370	10479	(1327)	10046	1
4089	12.3	4.8	0.9	Scaffold_8	23813	24994	1228	+	ET_35	LTR/Gypsy	10537	11764	(42)	10046	1

###13510/13510	16.200	2.500	2.900	Scaffold_8	15753	20422	4701	C	ET_33	DNA/Maverick	(12)	4729	29	10044/10044	2	0.992
13510	16.2	2.5	2.9	Scaffold_8	15753	16927	1817	C	ET_33	DNA/Maverick	(12)	4729	2913	10044	1
13510	16.2	2.5	2.9	Scaffold_8	18560	20422	2884	C	ET_33	DNA/Maverick	(12)	2912	29	10044	1

###1540	8.9	0.0	2.7	Scaffold_8	31631	31860	224	+	ET_31	LINE/L1	2	225	(137)	10047	1	0.619

###277	16.7	2.4	5.0	Scaffold_8	37212	37293	80	+	ET_34	LTR/Gypsy	1738	1817	(5716)	10065	1	No_ref_available

###1993	5.3	0.0	0.0	Scaffold_8	39551	39794	244	C	ET_39	LINE/RTE	(0)	1614	1371	10069	1	0.151

###470	17.0	1.0	1.0	Scaffold_8	422859	422959	101	+	ET_36	DNA/Helitron	1	101	(67)	10229	1	0.601

###22234/13336/1049/532/3307/6424	10.807	1.433	0.934	Scaffold_8	534188	549647	7603	+	ET_35	LTR/Gypsy	90	11806	(0)	10274/10274/10280/10282/10282/10282	6	No_ref_available
22234	12.3	1.5	0.5	Scaffold_8	534188	538428	4285	+	ET_35	LTR/Gypsy	90	4374	(7432)	10274	1
13336	8.7	1.8	2.0	Scaffold_8	538545	540414	1867	+	ET_35	LTR/Gypsy	4401	6267	(5539)	10274	1
1049	3.9	0.0	0.0	Scaffold_8	546806	546932	127	+	ET_35	LTR/Gypsy	10353	10479	(1327)	10280	1
532	16.9	2.2	0.0	Scaffold_8	547103	547191	91	+	ET_35	LTR/Gypsy	10480	10570	(1236)	10282	1
3307	10.4	0.0	0.0	Scaffold_8	548344	548783	440	+	ET_35	LTR/Gypsy	10560	10999	(807)	10282	1
6424	6.1	0.0	1.5	Scaffold_8	548832	549647	804	+	ET_35	LTR/Gypsy	11003	11806	(0)	10282	1

###14760/26074	7.245	1.237	1.560	Scaffold_8	540496	546725	5428	+	ET_32	LTR/Gypsy	4	6234	(0)	10276/10278	2	No_ref_available
14760	2.2	0.2	0.8	Scaffold_8	540496	542178	1673	+	ET_32	LTR/Gypsy	4	1676	(4558)	10276	1
26074	9.5	1.7	1.9	Scaffold_8	542961	546725	3755	+	ET_32	LTR/Gypsy	2480	6234	(0)	10278	1

###1477	13.7	0.0	0.0	Scaffold_8	556200	556418	219	+	ET_31	LINE/L1	2	220	(142)	10284	1	0.605

###578	13.6	0.0	0.0	Scaffold_8	556405	556492	88	C	ET_35	LTR/Gypsy	(11718)	88	1	10285	1	No_ref_available

###1587	17.7	1.6	1.6	Scaffold_8	556619	556934	316	+	ET_34	LTR/Gypsy	2171	2486	(5047)	10287	1	No_ref_available

###524/9082	18.121	1.767	5.579	Scaffold_8	604510	606645	1979	+	ET_33	DNA/Maverick	937	2957	(1784)	10305/10306	2	0.417
524	29.7	4.7	11.6	Scaffold_8	604510	604977	439	+	ET_33	DNA/Maverick	937	1375	(3366)	10305	1
9082	14.7	0.9	3.8	Scaffold_8	605062	606645	1540	+	ET_33	DNA/Maverick	1418	2957	(1784)	10306	1

###14404/14404/17253	17.131	1.012	2.080	Scaffold_8	812199	819381	7133	C	ET_35	LTR/Gypsy	(4517)	7289	93	10498/10498/10498	3	No_ref_available
14404	16.7	1.4	3.2	Scaffold_8	812199	813869	2322	C	ET_35	LTR/Gypsy	(4517)	7289	4968	10498	1
14404	16.7	1.4	3.2	Scaffold_8	815035	816276	1728	C	ET_35	LTR/Gypsy	(4517)	4967	3240	10498	1
17253	17.7	0.5	0.6	Scaffold_8	816296	819381	3083	C	ET_35	LTR/Gypsy	(8631)	3175	93	10498	1

###5986	19.1	2.8	1.1	Scaffold_8	813870	815034	1184	+	ET_33	DNA/Maverick	3558	4741	(0)	10499	1	0.250
