Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2606	7.0	0.3	4.4	Scaffold_19	7107	7482	361	C	ET_31	LINE/L1	(0)	362	2	4569	1	0.997

###333/5858/359/24752	9.395	2.355	0.595	Scaffold_19	14203	29088	7237	C	ET_35	LTR/Gypsy	(0)	11806	90	4571/4571/4573/4576	4	No_ref_available
333	10.5	8.8	0.0	Scaffold_19	14203	14259	62	C	ET_35	LTR/Gypsy	(0)	11806	11745	4571	1
5858	7.9	4.2	0.0	Scaffold_19	14311	15451	1189	C	ET_35	LTR/Gypsy	(45)	11761	10573	4571	1
359	19.4	2.0	14.3	Scaffold_19	16443	16544	91	C	ET_35	LTR/Gypsy	(1236)	10570	10480	4573	1
24752	9.6	1.6	0.4	Scaffold_19	23249	29088	5912	C	ET_35	LTR/Gypsy	(5805)	6001	90	4576	1

###37893	3.9	1.5	0.3	Scaffold_19	16882	21349	4521	C	ET_32	LTR/Gypsy	(2)	6232	1712	4574	1	No_ref_available

###19488	1.3	0.8	0.0	Scaffold_19	21430	23567	2155	+	ET_33	DNA/Maverick	1344	3498	(1243)	4575	1	0.455

###25178/6735/12417/26713/10825	7.482	0.439	0.775	Scaffold_19	30938	44875	10411	+	ET_35	LTR/Gypsy	1	11806	(0)	4578/4578/4580/4581/4581	5	No_ref_available
25178	6.8	0.5	0.2	Scaffold_19	30938	34069	3142	+	ET_35	LTR/Gypsy	1	3142	(8664)	4578	1
6735	17.6	0.5	0.0	Scaffold_19	34131	35263	1139	+	ET_35	LTR/Gypsy	3246	4384	(7422)	4578	1
12417	7.3	0.8	1.1	Scaffold_19	36700	38311	1607	+	ET_35	LTR/Gypsy	5677	7283	(4523)	4580	1
26713	4.6	0.2	1.5	Scaffold_19	40171	43416	3205	+	ET_35	LTR/Gypsy	7283	10487	(1319)	4581	1
10825	5.7	0.2	1.1	Scaffold_19	43540	44875	1324	+	ET_35	LTR/Gypsy	10483	11806	(0)	4581	1

###25389/25389	8.100	0.600	2.300	Scaffold_19	35428	40172	4712	C	ET_33	DNA/Maverick	(0)	4741	30	4579/4579	2	0.994
25389	8.1	0.6	2.3	Scaffold_19	35428	36699	1911	C	ET_33	DNA/Maverick	(0)	4741	2831	4579	1
25389	8.1	0.6	2.3	Scaffold_19	38312	40172	2801	C	ET_33	DNA/Maverick	(0)	2830	30	4579	1

###2057	12.9	0.0	8.3	Scaffold_19	48353	48731	350	C	ET_31	LINE/L1	(0)	362	13	4582	1	0.967

###244/5538/557/899/6380/22389/552	8.839	3.333	0.731	Scaffold_19	55417	74760	6570	C	ET_35	LTR/Gypsy	(0)	11806	1	4583/4583/4585/4585/4588/4591/4591	7	No_ref_available
244	6.7	0.0	0.0	Scaffold_19	55417	55446	30	C	ET_35	LTR/Gypsy	(0)	11806	11777	4583	1
5538	8.4	5.6	0.2	Scaffold_19	55551	56726	1239	C	ET_35	LTR/Gypsy	(8)	11798	10560	4583	1
