Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###13609	7.7	0.2	2.7	Scaffold_10	9644	11477	1789	+	ET_33	DNA/Maverick	1345	3133	(1608)	1760	1	0.377

###12781/8677	4.367	0.350	2.072	Scaffold_10	187537	191015	2562	+	ET_33	DNA/Maverick	1346	4741	(0)	1900/1903	2	0.540
12781	4.6	0.0	3.2	Scaffold_10	187537	189128	1543	+	ET_33	DNA/Maverick	1346	2888	(1853)	1900	1
8677	4.0	0.9	0.3	Scaffold_10	190003	191015	1019	+	ET_33	DNA/Maverick	3723	4741	(0)	1903	1

###3746/8767	6.454	0.569	0.414	Scaffold_10	264638	266242	1559	+	ET_33	DNA/Maverick	3183	4741	(0)	1939/1940	2	0.329
3746	5.6	0.0	0.2	Scaffold_10	264638	265087	449	+	ET_33	DNA/Maverick	3183	3631	(1110)	1939	1
8767	6.8	0.8	0.5	Scaffold_10	265132	266242	1114	+	ET_33	DNA/Maverick	3628	4741	(0)	1940	1

###8741	14.5	0.8	3.8	Scaffold_10	448519	450104	1540	+	ET_33	DNA/Maverick	1418	2957	(1784)	2016	1	0.325

###1961	18.9	4.0	0.5	Scaffold_10	560252	560656	419	C	ET_25	DNA/hAT	(0)	425	7	2127	1	0.986

###2625	7.8	0.8	1.9	Scaffold_10	3089	3453	361	+	ET_31	LINE/L1	2	362	(0)	1758	1	0.997

###2455	8.6	0.3	6.7	Scaffold_10	174199	174582	361	C	ET_31	LINE/L1	(0)	362	2	1895	1	0.997

###2356	9.3	0.8	2.0	Scaffold_10	248672	249033	358	C	ET_31	LINE/L1	(3)	359	2	1931	1	0.989

###3512	10.1	2.4	0.0	Scaffold_10	617291	617797	519	+	ET_39	LINE/RTE	1024	1542	(72)	2143	1	0.322
