Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###804/8350	13.477	1.282	1.374	Scaffold_6	538598	540112	1462	C	ET_33	DNA/Maverick	(0)	4741	3183	9305/9305	2	0.308
804	15.4	0.0	0.0	Scaffold_6	538598	538720	123	C	ET_33	DNA/Maverick	(0)	4741	4619	9305	1
8350	13.3	1.4	1.5	Scaffold_6	538773	540112	1339	C	ET_33	DNA/Maverick	(220)	4521	3183	9305	1

###7616/7616	9.300	1.000	4.800	Scaffold_6	713178	714362	1107	C	ET_33	DNA/Maverick	(1784)	2957	1851	9438/9438	2	0.233
7616	9.3	1.0	4.8	Scaffold_6	713178	713266	72	C	ET_33	DNA/Maverick	(1784)	2957	2886	9438	1
7616	9.3	1.0	4.8	Scaffold_6	713304	714362	1035	C	ET_33	DNA/Maverick	(1856)	2885	1851	9438	1

###1590	6.7	0.9	0.9	Scaffold_6	44337	44546	210	+	ET_31	LINE/L1	2	211	(151)	9060	1	0.580

###14413	2.0	0.0	0.0	Scaffold_6	13985	15598	1614	+	ET_39	LINE/RTE	1	1614	(0)	9042	1	1.000

###13429	3.2	0.0	0.1	Scaffold_6	51227	52769	1542	C	ET_39	LINE/RTE	(0)	1614	73	9062	1	0.955
