Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###11206	7.5	0.0	4.4	Scaffold_18	65211	66868	1588	C	ET_33	DNA/Maverick	(1608)	3133	1546	4320	1	0.335

###23870/8149	9.132	0.580	1.238	Scaffold_18	195626	200288	4335	+	ET_33	DNA/Maverick	18	4741	(0)	4384/4386	2	0.914
23870	8.1	0.2	1.7	Scaffold_18	195626	198805	3131	+	ET_33	DNA/Maverick	18	3148	(1593)	4384	1
8149	11.9	1.6	0.0	Scaffold_18	199104	200288	1204	+	ET_33	DNA/Maverick	3538	4741	(0)	4386	1

###1037/5248	11.886	1.320	4.896	Scaffold_18	225702	227388	997	C	ET_33	DNA/Maverick	(1243)	3498	1849	4403/4405	2	0.210
1037	20.7	0.4	3.9	Scaffold_18	225702	225942	233	C	ET_33	DNA/Maverick	(1243)	3498	3266	4403	1
5248	9.2	1.6	5.2	Scaffold_18	226598	227388	764	C	ET_33	DNA/Maverick	(2129)	2612	1849	4405	1

###10272	7.0	0.0	6.0	Scaffold_18	305237	306659	1343	C	ET_33	DNA/Maverick	(1853)	2888	1546	4483	1	0.283

###1561/295	9.083	0.000	2.258	Scaffold_18	9865	10257	263	+	ET_31	LINE/L1	2	355	(7)	4301/4303	2	0.727
1561	8.2	0.0	2.7	Scaffold_18	9865	10089	219	+	ET_31	LINE/L1	2	220	(142)	4301	1
295	13.6	0.0	0.0	Scaffold_18	10214	10257	44	+	ET_31	LINE/L1	312	355	(7)	4303	1

###2264	6.7	8.5	0.0	Scaffold_18	81364	81693	358	+	ET_31	LINE/L1	2	359	(3)	4326	1	0.989

###1433	15.0	0.0	2.6	Scaffold_18	184238	184477	234	C	ET_31	LINE/L1	(126)	236	3	4380	1	0.646

###1682	9.9	0.0	0.0	Scaffold_18	244304	244526	223	+	ET_31	LINE/L1	2	224	(138)	4449	1	0.616

###260	17.0	7.8	7.8	Scaffold_18	314056	314157	102	C	ET_31	LINE/L1	(22)	340	239	4488	1	0.282

###2481	7.9	0.8	4.5	Scaffold_18	320707	321077	358	+	ET_31	LINE/L1	2	359	(3)	4490	1	0.989

###13900	2.5	0.1	0.0	Scaffold_18	678	2290	1614	+	ET_39	LINE/RTE	1	1614	(0)	4298	1	1.000

###1971	5.7	0.0	0.0	Scaffold_18	98951	99194	244	C	ET_39	LINE/RTE	(0)	1614	1371	4333	1	0.151
