Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2625	7.8	0.8	1.9	Scaffold_10	3089	3453	361	+	ET_31	LINE/L1	2	362	(0)	1758	1	0.997

###10943/28647/47816	3.244	0.396	0.437	Scaffold_10	3595	17516	11806	C	ET_35	LTR/Gypsy	(0)	11806	1	1759/1759/1761	3	No_ref_available
10943	4.9	0.2	0.2	Scaffold_10	3595	4921	1327	C	ET_35	LTR/Gypsy	(0)	11806	10480	1759	1
28647	2.7	0.8	0.9	Scaffold_10	5039	9636	8859	C	ET_35	LTR/Gypsy	(1319)	10487	1629	1759	1
47816	3.3	0.1	0.1	Scaffold_10	12022	17516	5495	C	ET_35	LTR/Gypsy	(6311)	5495	1	1761	1

###13609	7.7	0.2	2.7	Scaffold_10	9644	11477	1789	+	ET_33	DNA/Maverick	1345	3133	(1608)	1760	1	0.377

###14299/279	6.128	0.682	0.835	Scaffold_10	10187	17694	1836	C	ET_35	LTR/Gypsy	(4523)	7283	1	1761/1763	2	No_ref_available
14299	6.0	0.7	0.8	Scaffold_10	10187	11979	1791	C	ET_35	LTR/Gypsy	(4523)	7283	5493	1761	1
279	11.1	0.0	2.2	Scaffold_10	17649	17694	45	C	ET_35	LTR/Gypsy	(11761)	45	1	1763	1

###5236/1099/7442	14.939	0.966	3.167	Scaffold_10	156103	158769	2326	+	ET_35	LTR/Gypsy	108	7289	(4517)	1848/1848/1850	3	No_ref_available
5236	21.1	0.0	0.2	Scaffold_10	156103	157081	977	+	ET_35	LTR/Gypsy	108	1084	(10722)	1848	1
1099	23.3	2.7	4.5	Scaffold_10	157066	157116	243	+	ET_35	LTR/Gypsy	5633	5875	(5931)	1848	1
7442	9.4	1.7	5.6	Scaffold_10	157622	158769	1106	+	ET_35	LTR/Gypsy	6184	7289	(4517)	1850	1

###2455	8.6	0.3	6.7	Scaffold_10	174199	174582	361	C	ET_31	LINE/L1	(0)	362	2	1895	1	0.997

###253/36764	4.708	1.691	1.691	Scaffold_10	181436	187459	10137	C	ET_32	LTR/Gypsy	(0)	11806	1666	1898/1898	2	No_ref_available
253	6.1	0.0	0.0	Scaffold_10	181436	181468	33	C	ET_32	LTR/Gypsy	(0)	11806	11774	1898	1
36764	4.7	1.7	1.7	Scaffold_10	181536	187459	10104	C	ET_32	LTR/Gypsy	(37)	11769	1666	1898	1

###12781/8677	4.367	0.350	2.072	Scaffold_10	187537	191015	2562	+	ET_33	DNA/Maverick	1346	4741	(0)	1900/1903	2	0.540
12781	4.6	0.0	3.2	Scaffold_10	187537	189128	1543	+	ET_33	DNA/Maverick	1346	2888	(1853)	1900	1
8677	4.0	0.9	0.3	Scaffold_10	190003	191015	1019	+	ET_33	DNA/Maverick	3723	4741	(0)	1903	1

###6524/6313/21626	11.341	1.148	0.969	Scaffold_10	189173	195477	5057	C	ET_35	LTR/Gypsy	(5542)	6264	90	1901/1904/1904	3	No_ref_available
6524	3.4	0.5	2.6	Scaffold_10	189173	189960	772	C	ET_35	LTR/Gypsy	(5542)	6264	5493	1901	1
6313	15.6	0.0	0.0	Scaffold_10	191190	192178	989	C	ET_35	LTR/Gypsy	(7432)	4374	3386	1904	1
21626	12.4	2.0	0.8	Scaffold_10	192210	195477	3308	C	ET_35	LTR/Gypsy	(8409)	3397	90	1904	1

###2356	9.3	0.8	2.0	Scaffold_10	248672	249033	358	C	ET_31	LINE/L1	(3)	359	2	1931	1	0.989

###6086/3211/810/4189/6120/706/22880	8.710	0.463	0.875	Scaffold_10	255590	270705	6038	C	ET_35	LTR/Gypsy	(0)	11806	90	1932/1932/1938/1938/1941/1941/1941	7	No_ref_available
6086	6.3	0.0	1.5	Scaffold_10	255590	256405	804	C	ET_35	LTR/Gypsy	(0)	11806	11003	1932	1
3211	10.8	1.1	0.0	Scaffold_10	256427	256881	460	C	ET_35	LTR/Gypsy	(775)	11031	10572	1932	1
810	5.6	0.0	1.9	Scaffold_10	264322	264430	107	C	ET_35	LTR/Gypsy	(5542)	6264	6158	1938	1
4189	2.7	1.5	0.0	Scaffold_10	264475	264952	485	C	ET_35	LTR/Gypsy	(5645)	6161	5677	1938	1
6120	16.4	0.0	0.0	Scaffold_10	266417	267405	989	C	ET_35	LTR/Gypsy	(7432)	4374	3386	1941	1
706	22.4	0.0	1.3	Scaffold_10	267437	267590	152	C	ET_35	LTR/Gypsy	(8409)	3397	3246	1941	1
22880	9.5	0.8	0.8	Scaffold_10	267619	270705	3086	C	ET_35	LTR/Gypsy	(8631)	3175	90	1941	1

###13670/11089/414/12518	8.323	1.973	0.717	Scaffold_10	258058	264232	5788	C	ET_32	LTR/Gypsy	(0)	6234	4	1933/1934/1935/1936	4	No_ref_available
13670	5.6	3.3	0.1	Scaffold_10	258058	259888	1890	C	ET_32	LTR/Gypsy	(0)	6234	4345	1933	1
11089	10.4	1.6	1.8	Scaffold_10	259884	261762	1925	C	ET_32	LTR/Gypsy	(1830)	4404	2480	1934	1
414	38.2	1.7	0.8	Scaffold_10	261998	262359	365	C	ET_32	LTR/Gypsy	(3969)	2265	1901	1935	1
12518	1.9	0.9	0.1	Scaffold_10	262630	264232	1668	C	ET_32	LTR/Gypsy	(4563)	1671	4	1936	1

###3746/8767	6.454	0.569	0.414	Scaffold_10	264638	266242	1559	+	ET_33	DNA/Maverick	3183	4741	(0)	1939/1940	2	0.329
3746	5.6	0.0	0.2	Scaffold_10	264638	265087	449	+	ET_33	DNA/Maverick	3183	3631	(1110)	1939	1
8767	6.8	0.8	0.5	Scaffold_10	265132	266242	1114	+	ET_33	DNA/Maverick	3628	4741	(0)	1940	1

###915	14.8	1.2	1.8	Scaffold_10	365381	365552	171	+	ET_34	LTR/Gypsy	5863	6033	(1500)	1981	1	No_ref_available

###8741	14.5	0.8	3.8	Scaffold_10	448519	450104	1540	+	ET_33	DNA/Maverick	1418	2957	(1784)	2016	1	0.325

###8448/920	17.588	1.270	2.994	Scaffold_10	448975	450812	1823	C	ET_35	LTR/Gypsy	(4523)	7283	913	2017/2017	2	No_ref_available
8448	17.3	1.4	3.3	Scaffold_10	448975	450656	1651	C	ET_35	LTR/Gypsy	(4523)	7283	5633	2017	1
920	20.4	0.0	0.0	Scaffold_10	450641	450812	172	C	ET_35	LTR/Gypsy	(10722)	1084	913	2017	1

###1961	18.9	4.0	0.5	Scaffold_10	560252	560656	419	C	ET_25	DNA/hAT	(0)	425	7	2127	1	0.986

###3512	10.1	2.4	0.0	Scaffold_10	617291	617797	519	+	ET_39	LINE/RTE	1024	1542	(72)	2143	1	0.322
