Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/Transposase	ET_22	318	2	0	NA	0	0.00
###DNA/Transposase	All_elements	NA	2	0	NA	0	0.0000

######Type:DNA	All_elements	NA	2	0	NA	0	0.0000

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

######Type:LTR	All_elements	NA			0		0.0000

######Type:Unknown	All_elements	NA			NA		0.0000

#########Type:EVERYTHING_TE	All_elements	NA	2	0	NA	0	0.0000

######Type:Simple_repeat	All_elements	NA	NA	3	NA	135	0.9889

