Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2140	8.4	0.3	8.3	Scaffold_4	4340	4729	361	C	ET_31	LINE/L1	(0)	362	2	7808	1	0.997

###5739/3166/978/18521/3743/16438	10.066	1.050	0.949	Scaffold_4	11451	26718	7426	C	ET_35	LTR/Gypsy	(8)	11798	90	7810/7810/7812/7820/7820/7820	6	No_ref_available
5739	5.7	1.8	0.6	Scaffold_4	11451	12246	805	C	ET_35	LTR/Gypsy	(8)	11798	10994	7810	1
3166	10.5	1.1	0.0	Scaffold_4	12307	12773	472	C	ET_35	LTR/Gypsy	(775)	11031	10560	7810	1
978	3.9	0.0	0.0	Scaffold_4	14010	14136	127	C	ET_35	LTR/Gypsy	(1327)	10479	10353	7812	1
18521	12.0	1.0	1.7	Scaffold_4	20519	23554	3015	C	ET_35	LTR/Gypsy	(5546)	6260	3246	7820	1
3743	11.9	0.0	0.0	Scaffold_4	23624	24186	563	C	ET_35	LTR/Gypsy	(8672)	3134	2572	7820	1
16438	11.3	0.6	0.6	Scaffold_4	24230	26718	2487	C	ET_35	LTR/Gypsy	(9230)	2576	90	7820	1

###395/14176/226/11809	7.469	1.592	2.155	Scaffold_4	14124	20387	4324	C	ET_32	LTR/Gypsy	(1099)	5135	4	7813/7814/7816/7818	4	No_ref_available
395	5.2	0.0	5.2	Scaffold_4	14124	14184	58	C	ET_32	LTR/Gypsy	(1099)	5135	5078	7813	1
14176	7.2	0.3	2.7	Scaffold_4	15581	17813	2232	C	ET_32	LTR/Gypsy	(1340)	4894	2663	7814	1
226	39.2	2.5	1.7	Scaffold_4	18236	18537	361	C	ET_32	LTR/Gypsy	(3973)	2261	1901	7816	1
11809	1.7	4.7	0.7	Scaffold_4	18779	20387	1673	C	ET_32	LTR/Gypsy	(4558)	1676	4	7818	1

###9277/406	6.636	1.811	0.762	Scaffold_4	14217	20513	1379	C	ET_32	LTR/Gypsy	(0)	6234	1399	7814/7819	2	No_ref_available
9277	6.5	1.9	0.8	Scaffold_4	14217	15517	1315	C	ET_32	LTR/Gypsy	(0)	6234	4920	7814	1
406	9.4	0.0	0.0	Scaffold_4	20450	20513	64	C	ET_32	LTR/Gypsy	(4772)	1462	1399	7819	1

###2256	8.4	0.3	7.2	Scaffold_4	52029	52414	361	C	ET_31	LINE/L1	(0)	362	2	7830	1	0.997

###6062/27895/27895	5.899	2.689	0.925	Scaffold_4	59108	71213	8517	C	ET_35	LTR/Gypsy	(0)	11806	1	7832/7837/7837	3	No_ref_available
6062	5.6	4.0	1.0	Scaffold_4	59108	60305	1234	C	ET_35	LTR/Gypsy	(0)	11806	10573	7832	1
27895	6.4	0.5	0.8	Scaffold_4	66587	66798	518	C	ET_35	LTR/Gypsy	(4523)	7283	6766	7837	1
27895	6.4	0.5	0.8	Scaffold_4	68456	71213	6765	C	ET_35	LTR/Gypsy	(4523)	6765	1	7837	1

###256	18.5	2.4	3.6	Scaffold_4	60362	60445	83	+	ET_32	LTR/Gypsy	4374	4456	(1778)	7834	1	No_ref_available

###9128/26187	4.739	0.623	1.177	Scaffold_4	61670	66506	4581	C	ET_32	LTR/Gypsy	(0)	6234	1629	7835/7835	2	No_ref_available
9128	7.3	1.8	0.9	Scaffold_4	61670	63138	1315	C	ET_32	LTR/Gypsy	(0)	6234	4920	7835	1
26187	3.6	0.1	1.3	Scaffold_4	63202	66506	3266	C	ET_32	LTR/Gypsy	(1340)	4894	1629	7835	1

###897/11549	7.447	0.055	4.309	Scaffold_4	66514	68455	1748	+	ET_33	DNA/Maverick	1345	3133	(1608)	7836/7838	2	0.369
897	13.9	0.6	4.4	Scaffold_4	66514	66679	160	+	ET_33	DNA/Maverick	1345	1504	(3237)	7836	1
11549	6.8	0.0	4.3	Scaffold_4	66799	68455	1588	+	ET_33	DNA/Maverick	1546	3133	(1608)	7838	1

###3629/6938/9375	11.818	0.515	0.253	Scaffold_4	71283	74418	3044	C	ET_35	LTR/Gypsy	(8672)	3134	90	7837/7837/7837	3	No_ref_available
3629	12.6	0.0	0.0	Scaffold_4	71283	71845	563	C	ET_35	LTR/Gypsy	(8672)	3134	2572	7837	1
6938	10.6	0.0	0.6	Scaffold_4	71889	72922	1028	C	ET_35	LTR/Gypsy	(9230)	2576	1549	7837	1
9375	12.4	1.1	0.1	Scaffold_4	72975	74418	1458	C	ET_35	LTR/Gypsy	(10259)	1547	90	7837	1

###714	18.2	5.9	0.0	Scaffold_4	112812	112981	180	+	ET_34	LTR/Gypsy	2310	2489	(5044)	7856	1	No_ref_available

###513	13.4	0.0	0.0	Scaffold_4	141053	141134	82	C	ET_3	DNA/CACTA	(1637)	4598	4517	7867	1	0.013

###4005/13099	17.728	2.801	3.323	Scaffold_4	233568	237025	3350	+	ET_35	LTR/Gypsy	311	7289	(4517)	7921/7922	2	No_ref_available
4005	22.6	4.0	0.1	Scaffold_4	233568	234410	876	+	ET_35	LTR/Gypsy	311	1186	(10620)	7921	1
