Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###470	17.0	1.0	1.0	Scaffold_8	422859	422959	101	+	ET_36	DNA/Helitron	1	101	(67)	10229	1	0.601

###13510/13510	16.200	2.500	2.900	Scaffold_8	15753	20422	4701	C	ET_33	DNA/Maverick	(12)	4729	29	10044/10044	2	0.992
13510	16.2	2.5	2.9	Scaffold_8	15753	16927	1817	C	ET_33	DNA/Maverick	(12)	4729	2913	10044	1
13510	16.2	2.5	2.9	Scaffold_8	18560	20422	2884	C	ET_33	DNA/Maverick	(12)	2912	29	10044	1

###524/9082	18.121	1.767	5.579	Scaffold_8	604510	606645	1979	+	ET_33	DNA/Maverick	937	2957	(1784)	10305/10306	2	0.417
524	29.7	4.7	11.6	Scaffold_8	604510	604977	439	+	ET_33	DNA/Maverick	937	1375	(3366)	10305	1
9082	14.7	0.9	3.8	Scaffold_8	605062	606645	1540	+	ET_33	DNA/Maverick	1418	2957	(1784)	10306	1

###5986	19.1	2.8	1.1	Scaffold_8	813870	815034	1184	+	ET_33	DNA/Maverick	3558	4741	(0)	10499	1	0.250

###1540	8.9	0.0	2.7	Scaffold_8	31631	31860	224	+	ET_31	LINE/L1	2	225	(137)	10047	1	0.619

###1477	13.7	0.0	0.0	Scaffold_8	556200	556418	219	+	ET_31	LINE/L1	2	220	(142)	10284	1	0.605

###1993	5.3	0.0	0.0	Scaffold_8	39551	39794	244	C	ET_39	LINE/RTE	(0)	1614	1371	10069	1	0.151
